policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,execution_type,pending_order_type,signal_time,book_aligned_retest,source_report
production_current,LTA,XAUUSD,M15,2026-06,2026-06-29 17:00:00,2026-06-30 00:30:00,BUY,4030.99195,3998.24914,6.0,3998.24914,loss,-1.0001,89,12.659071,0.0001,240.0,0.8854,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-06-29 14:45:00,False,reports\lta_pending_backtest\20260701-221151
production_current,LTA,XAUUSD,M15,2026-06,2026-06-30 04:30:00,2026-07-01 01:00:00,BUY,3987.94542,3940.11474,6.0,3987.94542,trail_stop,-0.0001,89,13.228429,0.0001,240.0,1.0,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-06-30 01:30:00,False,reports\lta_pending_backtest\20260701-221151
production_current,LTA,XAUUSD,M15,2026-06,2026-06-30 17:00:00,2026-07-01 11:15:00,SELL,4021.34713,4070.35259,6.0,4021.34713,trail_stop,-0.0,89,12.037357,0.0,240.0,0.7812,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,SELL_STOP,2026-06-30 14:15:00,False,reports\lta_pending_backtest\20260701-221151
production_current,LTA,XAUUSD,M15,2026-07,2026-07-01 04:45:00,2026-07-01 06:00:00,BUY,3982.73395,3968.59956,6.0,3968.59956,loss,-1.0002,89,8.658929,0.0002,240.0,0.4688,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-07-01 04:00:00,False,reports\lta_pending_backtest\20260701-221151
production_current,LTA,XAUUSD,M15,2026-07,2026-07-01 13:00:00,2026-07-01 13:15:00,SELL,4019.04048,4036.95857,6.0,4036.95857,loss,-1.0001,89,9.0305,0.0001,240.0,0.8021,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,SELL_STOP,2026-07-01 12:15:00,False,reports\lta_pending_backtest\20260701-221151
production_current,LTA,XAUUSD,M30,2026-07,2026-07-01 07:30:00,2026-07-01 13:30:00,BUY,3978.09238,3957.4924,6.0,4101.69226,win,5.9999,89,11.3075,0.0001,240.0,0.2812,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-07-01 07:00:00,False,reports\lta_pending_backtest\20260701-221151
production_current,LTA,ETHUSD,M15,2026-06,2026-06-30 18:15:00,2026-07-01 14:00:00,BUY,1574.52282,1546.01154,1.0,1603.0341,win,1.0,89,9.856429,0.0,100.0,0.7917,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-06-30 16:15:00,False,reports\lta_pending_backtest\20260701-221151
production_current,LTA,EURUSD,M15,2026-06,2026-06-30 06:30:00,2026-06-30 08:30:00,BUY,1.13991,1.13838,1.0,1.13838,loss,-1.0523,87,0.000401,0.0523,8.0,0.3542,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-06-30 05:00:00,False,reports\lta_pending_backtest\20260701-221152
production_current,LTA,GBPUSD,M15,2026-06,2026-06-30 09:00:00,2026-06-30 14:45:00,BUY,1.32319,1.32106,1.0,1.32532,win,0.9531,89,0.000784,0.0469,10.0,0.8333,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-06-30 08:45:00,False,reports\lta_pending_backtest\20260701-221152
production_current,LTA,GBPUSD,M15,2026-06,2026-06-30 13:15:00,2026-06-30 14:30:00,BUY,1.32272,1.32063,1.0,1.32481,win,0.9522,89,0.000779,0.0478,10.0,0.7812,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-06-30 12:30:00,False,reports\lta_pending_backtest\20260701-221152
production_current,LTA,GBPUSD,M30,2026-06,2026-06-30 01:00:00,2026-06-30 05:30:00,BUY,1.32389,1.32265,1.0,1.32265,loss,-1.0806,89,0.000537,0.0806,10.0,0.0417,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 2 - LTF Swing Retest,PENDING,BUY_LIMIT,2026-06-30 00:30:00,True,reports\lta_pending_backtest\20260701-221152
production_current,LTA,USDJPY,M15,2026-07,2026-07-01 17:00:00,2026-07-01 19:00:00,BUY,162.46325,162.27526,1.0,162.519,timeout,0.2434,89,0.104929,0.0532,10.0,0.9688,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,BUY_STOP,2026-07-01 16:15:00,False,reports\lta_pending_backtest\20260701-221152
production_current,LTA,USDCAD,M30,2026-06,2026-06-29 14:30:00,2026-06-30 00:30:00,SELL,1.4202,1.42215,1.0,1.42215,loss,-1.0718,89,0.000784,0.0718,14.0,0.5521,,"live_adaptive(vol=1.00,volume=1.00)",static,Pending Entry Model 3 - Internal Structure Break,PENDING,SELL_STOP,2026-06-29 14:00:00,False,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD
