selection_method,selected_symbols,range_minutes,atr_stop_fraction,relative_volume_min,top_n,robust_score,train_start,train_end,train_starting_balance,train_ending_balance,train_net_profit,train_return_percent,train_max_drawdown_percent,train_trades,train_wins,train_losses,train_win_rate_percent,train_profit_factor,train_total_r,train_average_r,train_sharpe,train_skipped_below_broker_minimum,validation_start,validation_end,validation_starting_balance,validation_ending_balance,validation_net_profit,validation_return_percent,validation_max_drawdown_percent,validation_trades,validation_wins,validation_losses,validation_win_rate_percent,validation_profit_factor,validation_total_r,validation_average_r,validation_sharpe,validation_skipped_below_broker_minimum,full_start,full_end,full_starting_balance,full_ending_balance,full_net_profit,full_return_percent,full_max_drawdown_percent,full_trades,full_wins,full_losses,full_win_rate_percent,full_profit_factor,full_total_r,full_average_r,full_sharpe,full_skipped_below_broker_minimum
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.0,1,-999997.4985238095,2026-05-08,2026-06-24,300.0,291.7562857142857,-8.243714285714304,-2.7479047619047736,4.363238095238103,7,1,6,14.285714285714285,0.3702143449600568,-3.959317112244224,-0.5656167303206034,-4.4083211435797365,8,2026-06-25,2026-07-07,300.0,307.50442857142855,7.504428571428548,2.5014761904761817,1.7473988709000063,6,3,3,50.0,1.9534795077503913,2.7520822606771205,0.45868037677952006,3.7736544954455313,1,2026-05-08,2026-07-07,300.0,299.26071428571424,-0.7392857142857565,-0.24642857142858077,4.363238095238103,13,4,9,30.76923076923077,0.9647292157958581,-1.2072348515671032,-0.09286421935131563,-0.10321102492792551,9
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.1,1.25,1,-999998.4413333334,2026-05-08,2026-06-24,300.0,278.5215714285712,-21.47842857142882,-7.159476190476277,7.1594761904762745,9,1,8,11.11111111111111,0.09642232545840171,-10.603284425107697,-1.1781427139008551,-10.577006686904234,4,2026-06-25,2026-07-07,300.0,304.6759999999998,4.675999999999817,1.5586666666665971,2.7911072540711785,3,1,2,33.33333333333333,1.4067501739735435,1.730880152022877,0.5769600506742923,1.4791343422809269,0,2026-05-08,2026-07-07,300.0,283.197571428571,-16.802428571429004,-5.600809523809669,8.075476190476289,12,2,10,16.666666666666664,0.5235574099203963,-8.87240427308482,-0.7393670227570683,-2.379137566009206,4
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.1,1.25,3,-999998.4413333334,2026-05-08,2026-06-24,300.0,264.7449999999997,-35.25500000000028,-11.751666666666761,11.751666666666761,16,1,15,6.25,0.06104349215649674,-19.41326102022447,-1.2133288137640295,-14.57564096823485,9,2026-06-25,2026-07-07,300.0,304.6759999999998,4.675999999999817,1.5586666666665971,2.7911072540711785,3,1,2,33.33333333333333,1.4067501739735435,1.730880152022877,0.5769600506742923,1.4791343422809269,0,2026-05-08,2026-07-07,300.0,265.3779999999996,-34.62200000000041,-11.540666666666798,12.667666666666777,19,2,17,10.526315789473683,0.2940480802560993,-17.682380868201594,-0.9306516246421892,-5.552599792181546,9
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.1,1.25,5,-999998.4413333334,2026-05-08,2026-06-24,300.0,261.35142857142824,-38.648571428571756,-12.882857142857251,12.882857142857251,18,1,17,5.555555555555555,0.05598358596432417,-21.435180190819736,-1.1908433439344297,-16.50973686455253,9,2026-06-25,2026-07-07,300.0,304.6759999999998,4.675999999999817,1.5586666666665971,2.7911072540711785,3,1,2,33.33333333333333,1.4067501739735435,1.730880152022877,0.5769600506742923,1.4791343422809269,0,2026-05-08,2026-07-07,300.0,261.9844285714281,-38.01557142857189,-12.671857142857302,13.798857142857269,21,2,19,9.523809523809524,0.2750179809075431,-19.70430003879686,-0.9383000018474694,-6.07491541137596,9
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.1,1.25,10,-999998.4413333334,2026-05-08,2026-06-24,300.0,261.35142857142824,-38.648571428571756,-12.882857142857251,12.882857142857251,18,1,17,5.555555555555555,0.05598358596432417,-21.435180190819736,-1.1908433439344297,-16.50973686455253,10,2026-06-25,2026-07-07,300.0,304.6759999999998,4.675999999999817,1.5586666666665971,2.7911072540711785,3,1,2,33.33333333333333,1.4067501739735435,1.730880152022877,0.5769600506742923,1.4791343422809269,0,2026-05-08,2026-07-07,300.0,261.9844285714281,-38.01557142857189,-12.671857142857302,13.798857142857269,21,2,19,9.523809523809524,0.2750179809075431,-19.70430003879686,-0.9383000018474694,-6.07491541137596,10
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.1,1.25,20,-999998.4413333334,2026-05-08,2026-06-24,300.0,261.35142857142824,-38.648571428571756,-12.882857142857251,12.882857142857251,18,1,17,5.555555555555555,0.05598358596432417,-21.435180190819736,-1.1908433439344297,-16.50973686455253,10,2026-06-25,2026-07-07,300.0,304.6759999999998,4.675999999999817,1.5586666666665971,2.7911072540711785,3,1,2,33.33333333333333,1.4067501739735435,1.730880152022877,0.5769600506742923,1.4791343422809269,0,2026-05-08,2026-07-07,300.0,261.9844285714281,-38.01557142857189,-12.671857142857302,13.798857142857269,21,2,19,9.523809523809524,0.2750179809075431,-19.70430003879686,-0.9383000018474694,-6.07491541137596,10
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.25,1,-999998.5271904762,2026-05-08,2026-06-24,300.0,294.39885714285714,-5.601142857142861,-1.8670476190476237,3.482380952380955,6,1,5,16.666666666666664,0.46385888144400556,-2.951306649599131,-0.49188444159985517,-3.146330125257918,8,2026-06-25,2026-07-07,300.0,304.4184285714286,4.418428571428592,1.4728095238095262,1.7473988709000063,5,2,3,40.0,1.5613859948451774,1.6286164816049467,0.32572329632098934,2.3130979017808633,1,2026-05-08,2026-07-07,300.0,298.81728571428573,-1.182714285714269,-0.3942380952380864,3.482380952380955,11,3,8,27.27272727272727,0.9354333042176207,-1.3226901679941845,-0.12024456072674404,-0.22812690366834,9
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,0.75,1,-999998.7698571428,2026-05-08,2026-06-24,300.0,291.7562857142857,-8.243714285714304,-2.7479047619047736,4.363238095238103,7,1,6,14.285714285714285,0.3702143449600568,-3.959317112244224,-0.5656167303206034,-4.4083211435797365,8,2026-06-25,2026-07-07,300.0,303.6904285714285,3.6904285714285265,1.2301428571428463,2.1114285714285757,7,3,4,42.857142857142854,1.3158377347417816,1.1784644367940562,0.16835206239915088,1.759185898842571,1,2026-05-08,2026-07-07,300.0,295.4467142857142,-4.553285714285778,-1.5177619047619273,4.859333333333344,14,4,10,28.57142857142857,0.8162092030907612,-2.7808526754501677,-0.19863233396072627,-0.9538978022606606,9
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.5,3,-999998.8289523809,2026-05-08,2026-06-24,300.0,285.13857142857154,-14.861428571428462,-4.953809523809483,5.335809523809492,8,1,7,12.5,0.07159176096812223,-6.524422111405305,-0.8155527639256631,-7.983199351717664,11,2026-06-25,2026-07-07,300.0,303.51314285714284,3.5131428571428387,1.171047619047605,0.8728596090141332,3,1,2,33.33333333333333,1.6765337001375502,1.2825981235094626,0.4275327078364875,2.0303101739908542,0,2026-05-08,2026-07-07,300.0,288.6517142857144,-11.348285714285623,-3.7827619047618777,5.793904761904722,11,2,9,18.181818181818183,0.46471071818439225,-5.241823987895843,-0.4765294534450766,-2.8137973987864826,11
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.5,5,-999998.8289523809,2026-05-08,2026-06-24,300.0,285.13857142857154,-14.861428571428462,-4.953809523809483,5.335809523809492,8,1,7,12.5,0.07159176096812223,-6.524422111405305,-0.8155527639256631,-7.983199351717664,11,2026-06-25,2026-07-07,300.0,303.51314285714284,3.5131428571428387,1.171047619047605,0.8728596090141332,3,1,2,33.33333333333333,1.6765337001375502,1.2825981235094626,0.4275327078364875,2.0303101739908542,0,2026-05-08,2026-07-07,300.0,288.6517142857144,-11.348285714285623,-3.7827619047618777,5.793904761904722,11,2,9,18.181818181818183,0.46471071818439225,-5.241823987895843,-0.4765294534450766,-2.8137973987864826,11
