symbol,start,end,starting_balance,ending_balance,net_profit,return_percent,max_drawdown_percent,trades,wins,losses,win_rate_percent,profit_factor,total_r,average_r,sharpe,skipped_below_broker_minimum,minimum_lot_fallbacks
BTCUSD,2026-05-08,2026-07-07,300.0,330.43935035714287,30.43935035714287,10.146450119047623,6.527331343591765,30,12,18,40.0,1.503814699108734,10.258496664030908,0.3419498888010303,2.0210153937840705,0,19
ETHUSD,2026-05-08,2026-07-07,300.0,324.60069964285674,24.60069964285674,8.200233214285578,5.820527191724054,31,11,20,35.483870967741936,1.394314649366957,8.667236309892338,0.2795882680610432,1.7531577426138334,0,0
US30,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
US100,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
XAUUSD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
XAGUSD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
EURUSD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
GBPUSD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
USDJPY,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
USDCHF,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
USDCAD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
AUDUSD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
NZDUSD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
