symbol,timeframe,min_score,min_tqi,tp_mode,selection_score,start,end,starting_balance,ending_balance,net_profit,return_percent,max_drawdown_percent,trades,wins,losses,win_rate_percent,profit_factor,total_r,average_r
XAUUSD,M15,40.0,0.5,Dynamic,64.37326206571022,2026-05-14,2026-07-13,300.0,483.2328011153401,183.23280111534012,61.07760037178005,14.585490101315795,18,10,8,55.55555555555556,2.0361382295480803,10.630612781479847,0.5905895989711026
XAUUSD,M15,40.0,0.5,Fixed,58.9532253209778,2026-05-14,2026-07-13,300.0,468.26649704264764,168.26649704264764,56.08883234754922,14.585490101315788,18,10,8,55.55555555555556,2.06983522074939,9.793674500414648,0.5440930278008138
XAUUSD,M15,40.0,0.35,Fixed,27.85667912984907,2026-05-14,2026-07-13,300.0,393.04367726581546,93.04367726581546,31.014559088605154,21.825574536037006,34,15,19,44.11764705882353,1.314834872543076,6.744507929214325,0.19836788027100954
XAUUSD,M15,40.0,0.35,Dynamic,17.846095117199877,2026-05-14,2026-07-13,300.0,364.75444714495603,64.75444714495603,21.58481571498534,22.136950043613037,34,15,19,44.11764705882353,1.2102514800257478,5.389902472512978,0.15852654330920524
BTCUSD,H1,40.0,0.35,Dynamic,14.694616945684054,2026-05-14,2026-07-13,300.0,334.17407304814697,34.174073048146965,11.391357682715665,9.761890943173766,5,3,2,60.0,1.9800639621611553,2.3818340183003377,0.47636680366006756
BTCUSD,H1,40.0,0.35,Fixed,14.056201952530923,2026-05-14,2026-07-13,300.0,332.8721910222357,32.87219102223571,10.957397007411895,9.761890943173771,5,3,2,60.0,1.9464148935374728,2.2964313936874987,0.4592862787374997
XAUUSD,M30,40.0,0.5,Dynamic,9.102082654085198,2026-05-14,2026-07-13,300.0,327.21429591575236,27.21429591575236,9.071431971917443,11.112434662501942,9,4,5,44.44444444444444,1.3779126694151733,2.18776201054026,0.24308466783780666
XAUUSD,M30,40.0,0.5,Fixed,3.0613486794433165,2026-05-14,2026-07-13,300.0,313.15195522621474,13.151955226214739,4.383985075404917,11.320709591657014,9,4,5,44.44444444444444,1.1892035269005008,1.186503727546937,0.13183374750521523
XAUUSD,H1,40.0,0.5,Dynamic,-2.3389545342284412,2026-05-14,2026-07-13,300.0,300.0573999907432,0.057399990743192575,0.01913333024772257,11.691578432207383,6,2,4,33.33333333333333,1.0008722177068552,0.338360715521296,0.056393452586882664
XAUUSD,H1,40.0,0.5,Fixed,-2.5919190786085697,2026-05-14,2026-07-13,300.0,298.82047165740994,-1.1795283425900607,-0.39317611419669163,9.792275549008888,6,2,4,33.33333333333333,0.9782646666252028,0.1495955537042064,0.0249325922840344
US30,M15,40.0,0.5,Fixed,-6.2229204918655885,2026-05-14,2026-07-13,300.0,289.6008679097405,-10.399132090259513,-3.466377363419837,9.165191947661878,9,3,6,33.33333333333333,0.8517983493981881,-0.41872062737725413,-0.04652451415302824
US30,M15,40.0,0.5,Dynamic,-7.0419253769372725,2026-05-14,2026-07-13,300.0,288.08106415460304,-11.918935845396959,-3.9729786151323165,9.943862251205413,9,3,6,33.33333333333333,0.8329653405923773,-0.5246830791032422,-0.05829811990036024
BTCUSD,M15,40.0,0.5,Fixed,-7.248300732346591,2026-05-14,2026-07-13,300.0,289.26185284372104,-10.738147156278956,-3.579382385426322,13.41185646003519,13,5,8,38.46153846153847,0.8836536269879408,-0.4107405014849132,-0.03159542319114717
XAUUSD,M30,40.0,0.35,Dynamic,-7.691304125220943,2026-05-14,2026-07-13,300.0,287.8133943171209,-12.186605682879076,-4.062201894293027,14.335731974971328,18,6,12,33.33333333333333,0.9178212482117195,-0.0813046269331509,-0.004516923718508383
BTCUSD,M15,60.0,0.35,Fixed,-7.827118611978596,2026-05-14,2026-07-13,300.0,288.1868138585138,-11.813186141486199,-3.9377287138287365,5.4357738728422,3,1,2,33.33333333333333,0.44386884059495374,-0.759133928981793,-0.253044642993931
US30,M30,40.0,0.35,Dynamic,-10.30688174105779,2026-05-14,2026-07-13,300.0,281.89097270584665,-18.10902729415335,-6.036342431384445,8.504178032917675,5,1,4,20.0,0.6171806660408233,-1.0722474007219622,-0.21444948014439244
BTCUSD,M15,40.0,0.5,Dynamic,-10.558603743257262,2026-05-14,2026-07-13,300.0,282.5477688366813,-17.452231163318686,-5.817410387772892,16.395643781460915,13,4,9,30.76923076923077,0.7982491156933265,-0.8349671331548839,-0.06422824101191414
US30,M30,40.0,0.35,Fixed,-11.956629539220785,2026-05-14,2026-07-13,300.0,278.4996653290005,-21.500334670999507,-7.166778223666503,8.50417803291767,5,1,4,20.0,0.5495373684557626,-1.331903403662432,-0.2663806807324864
BTCUSD,M15,60.0,0.35,Dynamic,-13.718307295707593,2026-05-14,2026-07-13,300.0,278.63655221487386,-21.36344778512614,-7.121149261708714,7.121149261708713,3,0,3,0.0,0.0,-1.44506121557151,-0.48168707185716997
BTCUSD,M30,40.0,0.35,Fixed,-14.98435544837944,2026-05-14,2026-07-13,300.0,271.3197902478407,-28.680209752159328,-9.560069917386437,11.441707862095328,7,2,5,28.57142857142857,0.5665778895795365,-1.7947009958284186,-0.2563858565469169
XAUUSD,M30,40.0,0.35,Fixed,-15.210480205841527,2026-05-14,2026-07-13,300.0,268.3907386567789,-31.60926134322108,-10.536420447740358,15.00702174058988,18,6,12,33.33333333333333,0.7777087809092357,-1.6601477813166585,-0.09223043229536992
US30,M15,40.0,0.35,Fixed,-16.20472059353373,2026-05-14,2026-07-13,300.0,267.46866755098176,-32.53133244901824,-10.843777483006079,16.324925414150336,14,5,9,35.714285714285715,0.7399869602088431,-1.7915964597860956,-0.12797117569900682
US30,M15,40.0,0.35,Dynamic,-16.957814369705645,2026-05-14,2026-07-13,300.0,265.5190141250902,-34.48098587490978,-11.493661958303258,16.324925414150336,14,5,9,35.714285714285715,0.7289853657082801,-1.936089481010724,-0.1382921057864803
BTCUSD,M30,40.0,0.35,Dynamic,-17.962653248070747,2026-05-14,2026-07-13,300.0,266.4581645932912,-33.5418354067088,-11.180611802236262,15.00372292534466,7,1,6,14.285714285714285,0.5052055092773615,-2.1217775001488257,-0.30311107144983224
XAUUSD,H1,40.0,0.35,Dynamic,-23.396389736894054,2026-05-14,2026-07-13,300.0,257.0137004520105,-42.98629954798952,-14.328766515996506,24.359558508089776,9,2,7,22.22222222222222,0.6050975117489619,-2.6799602344875932,-0.2977733593875104
XAUUSD,H1,40.0,0.35,Fixed,-23.552580586055605,2026-05-14,2026-07-13,300.0,255.9542114070687,-44.0457885929313,-14.6819295309771,22.732713570070985,9,2,7,22.22222222222222,0.5465463252811075,-2.868725396304683,-0.31874726625607586
BTCUSD,M15,40.0,0.35,Dynamic,-24.816234904289157,2026-05-14,2026-07-13,300.0,248.66055865379397,-51.33944134620603,-17.113147115402004,25.18115185550032,23,7,16,30.434782608695656,0.6276486253416965,-3.2379395975277676,-0.1407799825012073
BTCUSD,M15,40.0,0.35,Fixed,-26.115586198378573,2026-05-14,2026-07-13,300.0,245.39491835696703,-54.605081643032975,-18.201693881010993,25.46008329263019,23,8,15,34.78260869565217,0.6182643577732924,-3.5624044366830754,-0.1548871494210033
BTCUSD,M30,40.0,0.5,Fixed,-28.318876725925723,2026-05-14,2026-07-13,300.0,256.4722276275273,-43.527772372472725,-14.509257457490909,14.509257457490909,3,0,3,0.0,0.0,-3.054691471218627,-1.018230490406209
BTCUSD,M30,40.0,0.5,Dynamic,-28.318876725925723,2026-05-14,2026-07-13,300.0,256.4722276275273,-43.527772372472725,-14.509257457490909,14.509257457490909,3,0,3,0.0,0.0,-3.054691471218627,-1.018230490406209
BTCUSD,H1,40.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,323.93267444745817,23.93267444745817,7.97755814915273,0.0,1,1,0,100.0,inf,1.5955116298305445,1.5955116298305445
BTCUSD,H1,40.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,323.93267444745817,23.93267444745817,7.97755814915273,0.0,1,1,0,100.0,inf,1.5955116298305445,1.5955116298305445
BTCUSD,H1,40.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,323.5162574389889,23.516257438988873,7.838752479662947,0.0,1,1,0,100.0,inf,1.5677504959325896,1.5677504959325896
BTCUSD,H1,40.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,323.5162574389889,23.516257438988873,7.838752479662947,0.0,1,1,0,100.0,inf,1.5677504959325896,1.5677504959325896
US30,M15,40.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,314.60906430274537,14.609064302745367,4.869688100915126,0.0,1,1,0,100.0,inf,0.973937620183025,0.973937620183025
US30,H1,40.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,314.5035283023324,14.503528302332427,4.834509434110812,1.7694466175725634,2,1,1,50.0,3.5601020094085087,0.9906935632321587,0.49534678161607937
BTCUSD,M30,60.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,309.97031239070236,9.970312390702361,3.323437463567447,0.0,1,1,0,100.0,inf,0.6646874927134924,0.6646874927134924
US30,M15,40.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,308.0977738575731,8.097773857573088,2.69925795252437,0.0,1,1,0,100.0,inf,0.5398515905048732,0.5398515905048732
US30,H1,40.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,305.9030718768944,5.903071876894387,1.9676906256314686,5.102779950905898,2,1,1,50.0,1.3588730807168277,0.4695762967034127,0.23478814835170636
BTCUSD,M15,60.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,304.75246894211057,4.752468942110568,1.5841563140368553,1.6834008732606622,2,1,1,50.0,1.9107755303214278,0.32802084558664546,0.16401042279332273
BTCUSD,M15,40.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,301.64723495322306,1.6472349532230623,0.5490783177410252,5.008627626422493,2,1,1,50.0,1.1035670528412889,0.16842410100081207,0.08421205050040603
BTCUSD,M15,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M15,60.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M15,80.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M15,80.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M15,80.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M15,80.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M15,80.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M15,80.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,40.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,40.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,60.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,60.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,60.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,80.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,80.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,80.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,80.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,80.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,80.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,60.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,60.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,60.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,80.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,80.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,80.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,80.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,80.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,H1,80.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,60.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,80.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,80.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,80.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,80.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,80.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M15,80.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,60.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,60.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,60.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,60.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
