bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,setup_score,spread_r,spread_points,atr,reason,balance_before,risk_amount,pnl,balance_after
Trend,GBPJPY,H1,2026-05,2026-05-25 18:00:00,2026-05-25 21:00:00,BUY,214.621,214.450643,215.132071,214.450643,loss,-1.1291,78,0.1291,22.0,0.113571,EMA trend aligned with ADX breakout.,300.0,15.0,-16.94,283.06
NewsPulse,BTCUSD,M1,2026-05,2026-05-26 14:00:00,2026-05-26 14:01:00,SELL,77093.78,77203.31,76874.72,77203.31,loss,-1.1278,79,0.1278,1400.0,107.852857,News straddle sell pulse around 10:00 NY.,283.06,14.15,-15.96,267.1
NewsPulse,US30,M1,2026-05,2026-05-26 14:00:00,2026-05-26 14:02:00,SELL,50653.3,50709.7,50540.5,50709.7,loss,-1.0408,88,0.0408,23.0,35.364286,News straddle sell pulse around 10:00 NY.,267.1,13.36,-13.9,253.2
NewsPulse,XAGUSD,M1,2026-05,2026-05-26 14:00:00,2026-05-26 14:03:00,SELL,75.878,76.072,75.49,76.072,loss,-1.1546,77,0.1546,30.0,0.127143,News straddle sell pulse around 10:00 NY.,253.2,12.66,-14.62,238.58
Trend,BTCUSD,H1,2026-05,2026-05-26 17:00:00,2026-05-28 03:00:00,SELL,75822.4,76629.628214,73400.715357,73400.715357,win,1.9827,89,0.0173,1400.0,538.152143,EMA trend aligned with ADX breakdown.,238.58,11.93,23.65,262.24
Trend,XAUUSD,H1,2026-05,2026-05-26 17:00:00,2026-05-26 23:00:00,SELL,4491.209,4517.8805,4411.1945,4517.8805,loss,-1.105,81,0.105,280.0,17.781,EMA trend aligned with ADX breakdown.,262.24,13.11,-14.49,247.75
NewsPulse,BTCUSD,M1,2026-05,2026-05-26 18:00:00,2026-05-26 18:19:00,SELL,75869.71,76015.87,75577.39,76015.87,loss,-1.0958,82,0.0958,1400.0,70.427143,News straddle sell pulse around 14:00 NY.,247.75,12.39,-13.57,234.17
NewsPulse,BTCUSD,M1,2026-05,2026-05-27 12:30:00,2026-05-27 12:47:00,BUY,75810.48,75659.19,76113.06,75659.19,loss,-1.0925,83,0.0925,1400.0,112.703571,News straddle buy pulse around 08:30 NY.,234.17,11.71,-12.79,221.38
NewsPulse,US30,M1,2026-05,2026-05-27 12:30:00,2026-05-27 12:32:00,BUY,50653.0,50620.5,50718.0,50620.5,loss,-1.0708,85,0.0708,23.0,39.557143,News straddle buy pulse around 08:30 NY.,221.38,11.07,-11.85,209.53
NewsPulse,BTCUSD,M1,2026-05,2026-05-27 14:00:00,2026-05-27 14:05:00,BUY,75005.31,74893.13,75229.67,75005.31,trail_stop,0.3752,80,0.1248,1400.0,86.007143,News straddle buy pulse around 10:00 NY.,209.53,10.48,3.93,213.46
Trend,US30,H1,2026-05,2026-05-27 14:00:00,2026-05-27 14:00:00,BUY,50791.1,50651.782143,51209.053571,50651.782143,loss,-1.0151,89,0.0151,21.0,92.878571,EMA trend aligned with ADX breakout.,213.46,10.67,-10.83,202.63
Grid,NZDUSD,M15,2026-05,2026-05-28 03:45:00,2026-05-28 04:45:00,BUY,0.58726,0.586471,0.588364,0.586471,loss,-1.1775,70,0.1775,14.0,0.000584,Range grid buy at lower Bollinger band.,202.63,10.13,-11.93,190.7
NewsPulse,BTCUSD,M1,2026-05,2026-05-28 12:30:00,2026-05-28 12:30:00,BUY,73385.43,73289.59,73577.11,73289.59,loss,-1.1461,77,0.1461,1400.0,47.312143,News straddle buy pulse around 08:30 NY.,190.7,9.53,-10.93,179.77
NewsPulse,US30,M1,2026-05,2026-05-28 14:00:00,2026-05-28 14:04:00,SELL,50582.2,50614.7,50517.2,50517.2,win,1.4354,86,0.0646,21.0,26.064286,News straddle sell pulse around 10:00 NY.,179.77,8.99,12.9,192.67
NewsPulse,BTCUSD,M1,2026-05,2026-05-28 18:00:00,2026-05-28 18:02:00,SELL,73402.9,73489.26,73230.18,73489.26,loss,-1.1621,76,0.1621,1400.0,43.702857,News straddle sell pulse around 14:00 NY.,192.67,9.63,-11.2,181.48
Grid,AUDUSD,M15,2026-05,2026-05-29 02:45:00,2026-05-29 03:00:00,BUY,0.71569,0.715146,0.716451,0.71569,trail_stop,0.3345,71,0.1655,9.0,0.000403,Range grid buy at lower Bollinger band.,181.48,9.07,3.04,184.51
Grid,AUDUSD,M15,2026-05,2026-05-29 03:00:00,2026-05-29 04:45:00,BUY,0.71549,0.714943,0.716255,0.716255,win,1.0354,72,0.1646,9.0,0.000405,Range grid buy at lower Bollinger band.,184.51,9.23,9.55,194.06
Grid,GBPUSD,M15,2026-05,2026-05-29 03:30:00,2026-05-29 06:00:00,BUY,1.3433,1.342629,1.34424,1.34424,win,1.051,73,0.149,10.0,0.000497,Range grid buy at lower Bollinger band.,194.06,9.7,10.2,204.26
NewsPulse,US30,M1,2026-05,2026-05-29 12:30:00,2026-05-29 12:33:00,BUY,50882.3,50869.8,50907.3,50869.8,loss,-1.168,75,0.168,21.0,7.207143,News straddle buy pulse around 08:30 NY.,204.26,10.21,-11.93,192.33
NewsPulse,US30,M1,2026-05,2026-05-29 14:00:00,2026-05-29 14:12:00,SELL,50880.8,50922.8,50796.8,50922.8,loss,-1.05,87,0.05,21.0,29.642857,News straddle sell pulse around 10:00 NY.,192.33,9.62,-10.1,182.23
NewsPulse,XAGUSD,M1,2026-05,2026-05-29 14:00:00,2026-05-29 14:02:00,SELL,75.435,75.602,75.101,75.602,loss,-1.1796,74,0.1796,30.0,0.098571,News straddle sell pulse around 10:00 NY.,182.23,9.11,-10.75,171.49
Trend,GBPJPY,H1,2026-05,2026-05-29 14:00:00,2026-05-29 14:00:00,BUY,214.532,214.245286,215.392143,214.245286,loss,-1.0767,83,0.0767,22.0,0.191143,EMA trend aligned with ADX breakout.,171.49,8.57,-9.23,162.25
Trend,US30,H1,2026-05,2026-05-29 14:00:00,2026-05-29 14:00:00,BUY,51027.5,50912.739286,51371.782143,50912.739286,loss,-1.0183,89,0.0183,21.0,76.507143,EMA trend aligned with ADX breakout.,162.25,8.11,-8.26,153.99
Trend,US30,H1,2026-05,2026-05-29 15:00:00,2026-05-29 17:00:00,BUY,51102.7,50980.846429,51468.260714,50980.846429,loss,-1.0172,89,0.0172,21.0,81.235714,EMA trend aligned with ADX breakout.,153.99,7.7,-7.83,146.16
NewsPulse,BTCUSD,M1,2026-05,2026-05-29 18:00:00,2026-05-29 18:16:00,BUY,73852.15,73774.36,74007.73,73852.15,trail_stop,0.32,74,0.18,1400.0,59.524286,News straddle buy pulse around 14:00 NY.,146.16,7.31,2.34,148.5
Trend,BTCUSD,H1,2026-06,2026-06-01 12:00:00,2026-06-01 17:00:00,SELL,72118.65,72842.458929,69947.223214,71394.841071,trail_stop,0.9807,89,0.0193,1400.0,482.539286,EMA trend aligned with ADX breakdown.,148.5,7.42,7.28,155.78
NewsPulse,US30,M1,2026-06,2026-06-01 12:30:00,2026-06-01 12:30:00,SELL,51187.6,51202.6,51157.6,51202.6,loss,-1.1533,77,0.1533,23.0,14.707143,News straddle sell pulse around 08:30 NY.,155.78,7.79,-8.98,146.8
Trend,XAUUSD,H1,2026-06,2026-06-01 13:00:00,2026-06-01 13:00:00,SELL,4449.981,4476.357,4370.853,4476.357,loss,-1.1062,80,0.1062,280.0,17.584,EMA trend aligned with ADX breakdown.,146.8,7.34,-8.12,138.68
NewsPulse,US30,M1,2026-06,2026-06-01 14:00:00,2026-06-01 14:05:00,BUY,51012.9,50978.8,51081.1,51012.9,trail_stop,0.4326,85,0.0674,23.0,28.7,News straddle buy pulse around 10:00 NY.,138.68,6.93,3.0,141.68
NewsPulse,XAGUSD,M1,2026-06,2026-06-01 14:00:00,2026-06-01 14:08:00,SELL,73.91,74.12,73.49,74.12,loss,-1.1429,78,0.1429,30.0,0.153714,News straddle sell pulse around 10:00 NY.,141.68,7.08,-8.1,133.58
Trend,GBPJPY,H1,2026-06,2026-06-01 17:00:00,2026-06-03 06:00:00,BUY,214.932,214.590643,215.956071,214.932,trail_stop,0.4356,85,0.0644,22.0,0.227571,EMA trend aligned with ADX breakout.,133.58,6.68,2.91,136.49
NewsPulse,US30,M1,2026-06,2026-06-01 18:00:00,2026-06-01 18:03:00,BUY,51053.3,51039.4,51081.1,51053.3,trail_stop,0.3489,77,0.1511,21.0,11.335714,News straddle buy pulse around 14:00 NY.,136.49,6.82,2.38,138.87
Trend,BTCUSD,H1,2026-06,2026-06-02 12:00:00,2026-06-02 19:00:00,SELL,68909.98,69643.898929,66708.223214,66708.223214,win,1.9809,89,0.0191,1400.0,489.279286,EMA trend aligned with ADX breakdown.,138.87,6.94,13.75,152.63
NewsPulse,BTCUSD,M1,2026-06,2026-06-02 12:30:00,2026-06-02 12:41:00,SELL,69130.06,69234.1,68921.98,69130.06,trail_stop,0.3654,79,0.1346,1400.0,61.818571,News straddle sell pulse around 08:30 NY.,152.63,7.63,2.79,155.42
NewsPulse,BTCUSD,M1,2026-06,2026-06-02 14:00:00,2026-06-02 14:08:00,SELL,68625.57,68722.11,68432.49,68432.49,win,1.355,77,0.145,1400.0,63.520714,News straddle sell pulse around 10:00 NY.,155.42,7.77,10.53,165.95
NewsPulse,US30,M1,2026-06,2026-06-02 14:00:00,2026-06-02 14:02:00,SELL,50955.3,51007.1,50851.7,51007.1,loss,-1.0444,88,0.0444,23.0,38.221429,News straddle sell pulse around 10:00 NY.,165.95,8.3,-8.67,157.28
Trend,US30,H1,2026-06,2026-06-02 18:00:00,2026-06-03 09:00:00,BUY,51386.7,51197.25,51955.05,51197.25,loss,-1.0111,90,0.0111,21.0,126.3,EMA trend aligned with ADX breakout.,157.28,7.86,-7.95,149.33
NewsPulse,US30,M1,2026-06,2026-06-03 12:30:00,2026-06-03 12:30:00,SELL,51165.3,51182.3,51131.3,51182.3,loss,-1.1235,80,0.1235,21.0,9.721429,News straddle sell pulse around 08:30 NY.,149.33,7.47,-8.39,140.94
NewsPulse,BTCUSD,M1,2026-06,2026-06-03 14:00:00,2026-06-03 14:20:00,BUY,66741.73,66583.71,67057.77,66583.71,loss,-1.0886,83,0.0886,1400.0,119.152143,News straddle buy pulse around 10:00 NY.,140.94,7.05,-7.67,133.27
NewsPulse,US30,M1,2026-06,2026-06-03 14:00:00,2026-06-03 14:05:00,BUY,51088.8,51046.1,51174.2,51046.1,loss,-1.0539,87,0.0539,23.0,34.721429,News straddle buy pulse around 10:00 NY.,133.27,6.66,-7.02,126.25
