bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
ORB,BTCUSD,2026-05-25 23:15:00,2026-05-26 00:30:00,-1.0001,lta_orb_dynamic_conservative,2026-05-25 23:15:00+00:00,2026-05-26 00:30:00+00:00,300.0,15.0,-15.0,285.0
ORB,US30,2026-05-25 23:15:00,2026-05-26 02:00:00,0.455,lta_orb_dynamic_conservative,2026-05-25 23:15:00+00:00,2026-05-26 02:00:00+00:00,285.0,14.25,6.48,291.48
NewsPulse,BTCUSD,2026-05-26 14:00:00,2026-05-26 14:01:00,-1.1278,strategy_suite,2026-05-26 14:00:00+00:00,2026-05-26 14:01:00+00:00,291.48,14.57,-16.44,275.05
NewsPulse,US30,2026-05-26 14:00:00,2026-05-26 14:02:00,-1.0408,strategy_suite,2026-05-26 14:00:00+00:00,2026-05-26 14:02:00+00:00,275.05,13.75,-14.31,260.73
NewsPulse,XAGUSD,2026-05-26 14:00:00,2026-05-26 14:03:00,-1.1546,strategy_suite,2026-05-26 14:00:00+00:00,2026-05-26 14:03:00+00:00,260.73,13.04,-15.05,245.68
NewsPulse,BTCUSD,2026-05-26 18:00:00,2026-05-26 18:19:00,-1.0958,strategy_suite,2026-05-26 18:00:00+00:00,2026-05-26 18:19:00+00:00,245.68,12.28,-13.46,232.22
Sniper,BTCUSD,2026-05-26T20:00:00Z,2026-06-01T11:55:00Z,2.0,sniper,2026-05-26 20:00:00+00:00,2026-06-01 11:55:00+00:00,232.22,11.61,23.22,255.44
LTA,BTCUSD,2026-05-26 23:00:00,2026-05-27 03:45:00,-1.0001,lta_orb_dynamic_conservative,2026-05-26 23:00:00+00:00,2026-05-27 03:45:00+00:00,255.44,12.77,-12.77,242.67
ORB,US30,2026-05-26 23:15:00,2026-05-27 07:00:00,1.9418,lta_orb_dynamic_conservative,2026-05-26 23:15:00+00:00,2026-05-27 07:00:00+00:00,242.67,12.13,23.56,266.23
ORB,XAUUSD,2026-05-26 23:15:00,2026-05-26 23:30:00,-1.0005,lta_orb_dynamic_conservative,2026-05-26 23:15:00+00:00,2026-05-26 23:30:00+00:00,266.23,13.31,-13.32,252.91
LTA,XAUUSD,2026-05-27 03:00:00,2026-05-27 03:45:00,-1.0002,lta_orb_dynamic_conservative,2026-05-27 03:00:00+00:00,2026-05-27 03:45:00+00:00,252.91,12.65,-12.65,240.26
Grid,BTCUSD,2026-05-27 03:45:00,2026-05-27 04:30:00,-1.069,strategy_suite,2026-05-27 03:45:00+00:00,2026-05-27 04:30:00+00:00,240.26,12.01,-12.84,227.42
LTA,XAUUSD,2026-05-27 04:30:00,2026-05-27 05:30:00,-1.0002,lta_orb_dynamic_conservative,2026-05-27 04:30:00+00:00,2026-05-27 05:30:00+00:00,227.42,11.37,-11.37,216.05
NewsPulse,BTCUSD,2026-05-27 12:30:00,2026-05-27 12:47:00,-1.0925,strategy_suite,2026-05-27 12:30:00+00:00,2026-05-27 12:47:00+00:00,216.05,10.8,-11.8,204.25
NewsPulse,EURUSD,2026-05-27 12:30:00,2026-05-27 12:44:00,-1.1538,strategy_suite,2026-05-27 12:30:00+00:00,2026-05-27 12:44:00+00:00,204.25,10.21,-11.78,192.46
NewsPulse,US30,2026-05-27 12:30:00,2026-05-27 12:32:00,-1.0708,strategy_suite,2026-05-27 12:30:00+00:00,2026-05-27 12:32:00+00:00,192.46,9.62,-10.3,182.16
