bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
NewsPulse,BTCUSD,2026-05-26 14:00:00,2026-05-26 14:01:00,-1.1278,strategy_suite,2026-05-26 14:00:00+00:00,2026-05-26 14:01:00+00:00,300.0,15.0,-16.92,283.08
NewsPulse,US30,2026-05-26 14:00:00,2026-05-26 14:02:00,-1.0408,strategy_suite,2026-05-26 14:00:00+00:00,2026-05-26 14:02:00+00:00,283.08,14.15,-14.73,268.35
NewsPulse,XAGUSD,2026-05-26 14:00:00,2026-05-26 14:03:00,-1.1546,strategy_suite,2026-05-26 14:00:00+00:00,2026-05-26 14:03:00+00:00,268.35,13.42,-15.49,252.86
NewsPulse,BTCUSD,2026-05-26 18:00:00,2026-05-26 18:19:00,-1.0958,strategy_suite,2026-05-26 18:00:00+00:00,2026-05-26 18:19:00+00:00,252.86,12.64,-13.85,239.01
Sniper,BTCUSD,2026-05-26T20:00:00Z,2026-06-01T11:55:00Z,2.0,sniper,2026-05-26 20:00:00+00:00,2026-06-01 11:55:00+00:00,239.01,11.95,23.9,262.91
NewsPulse,BTCUSD,2026-05-27 12:30:00,2026-05-27 12:47:00,-1.0925,strategy_suite,2026-05-27 12:30:00+00:00,2026-05-27 12:47:00+00:00,262.91,13.15,-14.36,248.54
NewsPulse,EURUSD,2026-05-27 12:30:00,2026-05-27 12:44:00,-1.1538,strategy_suite,2026-05-27 12:30:00+00:00,2026-05-27 12:44:00+00:00,248.54,12.43,-14.34,234.21
NewsPulse,US30,2026-05-27 12:30:00,2026-05-27 12:32:00,-1.0708,strategy_suite,2026-05-27 12:30:00+00:00,2026-05-27 12:32:00+00:00,234.21,11.71,-12.54,221.67
NewsPulse,BTCUSD,2026-05-27 14:00:00,2026-05-27 14:05:00,0.3752,strategy_suite,2026-05-27 14:00:00+00:00,2026-05-27 14:05:00+00:00,221.67,11.08,4.16,225.83
NewsPulse,BTCUSD,2026-05-28 12:30:00,2026-05-28 12:30:00,-1.1461,strategy_suite,2026-05-28 12:30:00+00:00,2026-05-28 12:30:00+00:00,225.83,11.29,-12.94,212.88
NewsPulse,US30,2026-05-28 14:00:00,2026-05-28 14:04:00,1.4354,strategy_suite,2026-05-28 14:00:00+00:00,2026-05-28 14:04:00+00:00,212.88,10.64,15.28,228.16
NewsPulse,BTCUSD,2026-05-28 18:00:00,2026-05-28 18:02:00,-1.1621,strategy_suite,2026-05-28 18:00:00+00:00,2026-05-28 18:02:00+00:00,228.16,11.41,-13.26,214.91
Grid,AUDUSD,2026-05-29 02:45:00,2026-05-29 03:00:00,0.3345,strategy_suite,2026-05-29 02:45:00+00:00,2026-05-29 03:00:00+00:00,214.91,10.75,3.59,218.5
Grid,AUDUSD,2026-05-29 03:00:00,2026-05-29 04:45:00,1.0354,strategy_suite,2026-05-29 03:00:00+00:00,2026-05-29 04:45:00+00:00,218.5,10.92,11.31,229.81
NewsPulse,US30,2026-05-29 12:30:00,2026-05-29 12:33:00,-1.168,strategy_suite,2026-05-29 12:30:00+00:00,2026-05-29 12:33:00+00:00,229.81,11.49,-13.42,216.39
NewsPulse,US30,2026-05-29 14:00:00,2026-05-29 14:12:00,-1.05,strategy_suite,2026-05-29 14:00:00+00:00,2026-05-29 14:12:00+00:00,216.39,10.82,-11.36,205.03
NewsPulse,XAGUSD,2026-05-29 14:00:00,2026-05-29 14:02:00,-1.1796,strategy_suite,2026-05-29 14:00:00+00:00,2026-05-29 14:02:00+00:00,205.03,10.25,-12.09,192.94
NewsPulse,BTCUSD,2026-05-29 18:00:00,2026-05-29 18:16:00,0.32,strategy_suite,2026-05-29 18:00:00+00:00,2026-05-29 18:16:00+00:00,192.94,9.65,3.09,196.02
NewsPulse,US30,2026-06-01 12:30:00,2026-06-01 12:30:00,-1.1533,strategy_suite,2026-06-01 12:30:00+00:00,2026-06-01 12:30:00+00:00,196.02,9.8,-11.3,184.72
NewsPulse,US30,2026-06-01 14:00:00,2026-06-01 14:05:00,0.4326,strategy_suite,2026-06-01 14:00:00+00:00,2026-06-01 14:05:00+00:00,184.72,9.24,4.0,188.72
NewsPulse,XAGUSD,2026-06-01 14:00:00,2026-06-01 14:08:00,-1.1429,strategy_suite,2026-06-01 14:00:00+00:00,2026-06-01 14:08:00+00:00,188.72,9.44,-10.78,177.93
NewsPulse,US30,2026-06-01 18:00:00,2026-06-01 18:03:00,0.3489,strategy_suite,2026-06-01 18:00:00+00:00,2026-06-01 18:03:00+00:00,177.93,8.9,3.1,181.04
NewsPulse,BTCUSD,2026-06-02 12:30:00,2026-06-02 12:41:00,0.3654,strategy_suite,2026-06-02 12:30:00+00:00,2026-06-02 12:41:00+00:00,181.04,9.05,3.31,184.34
NewsPulse,BTCUSD,2026-06-02 14:00:00,2026-06-02 14:08:00,1.355,strategy_suite,2026-06-02 14:00:00+00:00,2026-06-02 14:08:00+00:00,184.34,9.22,12.49,196.83
NewsPulse,US30,2026-06-02 14:00:00,2026-06-02 14:02:00,-1.0444,strategy_suite,2026-06-02 14:00:00+00:00,2026-06-02 14:02:00+00:00,196.83,9.84,-10.28,186.55
