Strategy,Month,Trades,Wins,Losses,Win Rate,Gross Profit,Gross Loss,Net Profit,Profit Factor,Max DD,Return %
A_FIXED,2025-07,2,1,1,50.0,48.51,-25.5,23.009999999999998,1.9023529411764706,25.5,0.23009999999999997
A_FIXED,2025-08,21,8,13,38.095238095238095,387.09000000000003,-326.40000000000003,60.690000000000026,1.1859374999999999,151.95000000000073,0.6055067290165331
A_FIXED,2025-09,21,7,14,33.33333333333333,324.34200000000067,-349.35,-25.007999999999292,0.9284156290253346,150.89999999999964,-0.24800420480576862
A_FIXED,2025-10,23,5,18,21.73913043478261,240.57000000000002,-446.76000000000005,-206.18999999999997,0.5384770346494763,206.1900000000005,-2.049868909396967
A_FIXED,2025-11,18,9,9,50.0,438.57,-227.46,211.11,1.928119229754682,77.51999999999862,2.142704462277704
A_FIXED,2025-12,21,6,15,28.57142857142857,292.05,-378.42,-86.36999999999999,0.7717615348026002,154.4400000000005,-0.8582405601487814
A_FIXED,2026-01,20,4,16,20.0,182.16000000000003,-381.48,-199.31999999999994,0.4775086505190312,265.46999999999935,-1.9977464714196564
A_FIXED,2026-02,19,8,11,42.10526315789473,363.33000000000004,-258.06,105.26999999999998,1.4079283887468033,97.97999999999956,1.0766091200154795
A_FIXED,2026-03,22,10,12,45.45454545454545,451.44000000000005,-281.01,170.42999999999998,1.6064908722109537,69.8700000000008,1.7244428723027942
A_FIXED,2026-04,21,7,14,33.33333333333333,306.9,-320.28,-13.380000000000013,0.9582240539527913,207.38999999999942,-0.13308636429736478
A_FIXED,2026-05,20,2,18,10.0,84.15,-387.09000000000003,-302.94,0.21739130434782608,302.9400000000005,-3.0172579505553743
A_FIXED,2026-06,21,8,13,38.095238095238095,318.78,-262.6499999999999,56.130000000000024,1.2137064534551687,163.5599999999995,0.5764430434631689
A_FIXED,2026-07,19,8,11,42.10526315789473,308.88,-218.27999999999997,90.6,1.4150632215503025,139.88999999999942,0.9251098082878402
A_RUNNER,2025-07,2,0,2,0.0,0.0,-8.328999999999613,-8.328999999999613,0.0,8.328999999999724,-0.08328999999999613
A_RUNNER,2025-08,21,6,15,28.57142857142857,17.681500000001467,-69.15249999999857,-51.47099999999711,0.25568851451504765,62.86899999999878,-0.5151390593224808
A_RUNNER,2025-09,21,2,19,9.523809523809524,18.77149999999965,-85.20649999999645,-66.4349999999968,0.22030596257328294,74.2014999999974,-0.6683467133457757
A_RUNNER,2025-10,23,5,18,21.73913043478261,55.01100000000035,-121.77500000000177,-66.76400000000142,0.45174296858960833,78.40499999999884,-0.6761757039994509
A_RUNNER,2025-11,18,5,13,27.77777777777778,108.8999999999989,-112.272,-3.3720000000011154,0.9699657973492847,69.14099999999962,-0.034383600042470826
A_RUNNER,2025-12,21,4,17,19.047619047619047,22.034499999998552,-90.61300000000068,-68.57850000000214,0.2431715096067715,72.50350000000071,-0.6995215751228664
A_RUNNER,2026-01,20,1,19,5.0,6.615000000000328,-101.08199999999984,-94.46699999999952,0.06544191844245602,94.46699999999873,-0.9703801741963178
A_RUNNER,2026-02,19,8,11,42.10526315789473,121.09500000000168,-53.670999999996354,67.42400000000534,2.2562463900432244,23.29899999999907,0.6993767545294879
A_RUNNER,2026-03,22,6,16,27.27272727272727,73.73150000000003,-169.52649999999937,-95.79499999999936,0.434926102998648,134.2510000000002,-0.9867627316933911
A_RUNNER,2026-04,21,5,16,23.809523809523807,60.97249999999669,-85.80650000000202,-24.834000000005314,0.71058136621346,53.42450000000463,-0.2583588325789229
A_RUNNER,2026-05,20,4,16,20.0,31.40650000000121,-101.87000000000188,-70.46350000000066,0.3082997938549193,88.46600000000035,-0.7349610740829796
A_RUNNER,2026-06,21,4,17,19.047619047619047,16.754499999998227,-119.19450000000084,-102.44000000000263,0.14056437167820754,102.44000000000233,-1.0763992323142806
A_RUNNER,2026-07,19,4,15,21.052631578947366,34.19749999999942,-106.03499999999948,-71.83750000000008,0.3225114349035657,93.90600000000086,-0.7630537018792879
A_COMPLETE,2025-07,4,1,3,25.0,48.51,-33.82899999999962,14.681000000000381,1.433976765497075,33.82899999999972,0.14681000000000383
A_COMPLETE,2025-08,42,14,28,33.33333333333333,404.7715000000015,-395.55249999999853,9.2190000000029,1.0233066407114175,167.55349999999817,0.09205485426847745
A_COMPLETE,2025-09,42,9,33,21.428571428571427,343.1135000000004,-434.5564999999964,-91.44299999999608,0.7895716667452983,198.2679999999982,-0.9122497231616042
A_COMPLETE,2025-10,46,10,36,21.73913043478261,295.5810000000004,-568.5350000000018,-272.95400000000143,0.5198993905388402,273.90900000000147,-2.7481015019748005
A_COMPLETE,2025-11,36,14,22,38.88888888888889,547.4699999999989,-339.732,207.7379999999989,1.6114761046942851,129.38450000000012,2.1506075416095296
A_COMPLETE,2025-12,42,10,32,23.809523809523807,314.0844999999985,-469.03300000000064,-154.9485000000021,0.6696426477454637,204.57400000000052,-1.5703325782759538
A_COMPLETE,2026-01,40,5,35,12.5,188.77500000000032,-482.5619999999997,-293.7869999999995,0.3911932559961216,356.6970000000001,-3.0248986014372963
A_COMPLETE,2026-02,38,16,22,42.10526315789473,484.42500000000166,-311.73099999999636,172.69400000000533,1.5539840439353396,117.13899999999921,1.8335605367540027
A_COMPLETE,2026-03,44,16,28,36.36363636363637,525.1715,-450.5364999999993,74.63500000000067,1.1656580543418809,108.42200000000048,0.7781612716949596
A_COMPLETE,2026-04,42,12,30,28.57142857142857,367.87249999999665,-406.08650000000193,-38.21400000000533,0.905896896350888,252.89850000000297,-0.3953512756710794
A_COMPLETE,2026-05,40,6,34,15.0,115.55650000000121,-488.9600000000019,-373.4035000000007,0.23633119273560363,373.40350000000035,-3.8784609343502954
A_COMPLETE,2026-06,42,12,30,28.57142857142857,335.5344999999983,-381.84450000000083,-46.31000000000261,0.8787202644008164,247.76100000000224,-0.5004205109951776
A_COMPLETE,2026-07,38,12,26,31.57894736842105,343.0774999999994,-324.3149999999995,18.76249999999993,1.0578527049319333,203.48849999999948,0.20376509015566655
B1,2025-08,6,1,5,16.666666666666664,97.4419999999982,-259.9589999999951,-162.51699999999693,0.3748360318357896,209.43399999999565,-1.6251699999999691
B1,2025-09,10,3,7,30.0,287.5179999999957,-361.260499999991,-73.74249999999527,0.7958744451718438,156.11549999999625,-0.7496073944930349
B1,2025-10,11,4,7,36.36363636363637,337.4669999999994,-347.11350000000397,-9.646500000004615,0.9722093782004894,297.1455000000042,-0.09879922556324193
B1,2025-11,6,1,5,16.666666666666664,96.28799999999828,-256.84000000000145,-160.55200000000323,0.3748948761875009,206.25500000000102,-1.6459960299747283
B1,2025-12,7,3,4,42.857142857142854,214.2879999999957,-206.67850000000973,7.609499999985971,1.0368180531597897,156.1210000000101,0.07931898354107346
B1,2026-01,10,1,9,10.0,89.7959999999997,-436.97399999999755,-347.17799999999784,0.20549506377953883,436.97399999999834,-3.6160037678813666
B1,2026-02,4,0,4,0.0,0.0,-188.50149999999869,-188.50149999999869,0.0,188.5014999999985,-2.036979033925253
B1,2026-03,11,2,9,18.181818181818183,128.26200000000014,-425.5929999999946,-297.33099999999445,0.3013724379865312,297.3309999999947,-3.2798181936913458
B1,2026-04,10,1,9,10.0,41.748000000000175,-419.29350000001466,-377.5455000000145,0.0995674867366146,419.2935000000143,-4.305878520886179
B1,2026-05,8,2,6,25.0,87.00599999999969,-238.80849999999396,-151.80249999999427,0.3643337653391813,151.80249999999432,-1.8091981671622066
B1,2026-06,10,0,10,0.0,0.0,-410.16049999999217,-410.16049999999217,0.0,410.1604999999927,-4.978405210568986
B1,2026-07,7,5,2,71.42857142857143,384.1220000000007,-80.86750000000714,303.2544999999935,4.750017003121981,80.86750000000666,3.8736586498343577
B2,2025-08,2,1,1,50.0,99.0,-49.98,49.02,1.980792316926771,49.97999999999956,0.4902
B2,2025-09,1,1,0,100.0,97.02,0.0,97.02,inf,0.0,0.9654672793963988
B2,2025-10,3,2,1,66.66666666666666,192.06,-49.98,142.08,3.8427370948379354,49.97999999999956,1.4003492988397443
B2,2025-11,6,4,2,66.66666666666666,327.3,-68.89199999999896,258.4080000000011,4.750914474830241,52.02000000000044,2.5117125383452086
B2,2025-12,5,2,3,40.0,111.61999999999854,-153.0,-41.38000000000146,0.7295424836601212,102.0,-0.3923566125269041
B2,2026-01,5,2,3,40.0,180.18,-112.57499999999933,67.60500000000067,1.6005329780146664,64.6349999999984,0.6435416235925535
B2,2026-02,8,4,4,50.0,274.6199999999983,-187.68,86.93999999999832,1.4632352941176379,93.84000000000015,0.8223023842512759
B2,2026-03,4,2,2,50.0,180.18,-93.84,86.34,1.920076726342711,46.92000000000007,0.8099670412646969
B2,2026-04,6,2,4,33.33333333333333,180.18,-180.54000000000002,-0.36000000000000654,0.9980059820538384,180.54000000000087,-0.0033500734643194053
B2,2026-05,5,1,4,20.0,85.14,-170.34,-85.2,0.49982388164846775,170.34000000000015,-0.7928772818603358
B2,2026-06,5,3,2,60.0,233.64000000000001,-83.64,150.0,2.793400286944046,83.63999999999942,1.4070670222606445
B2,2026-07,4,2,2,50.0,156.42000000000002,-80.58,75.84,1.9411764705882355,80.57999999999993,0.7015419214311899
B_COMPLETE,2025-08,8,2,6,25.0,196.4419999999982,-309.93899999999513,-113.49699999999692,0.6338085881415416,259.4139999999952,-1.1349699999999692
B_COMPLETE,2025-09,11,4,7,36.36363636363637,384.53799999999575,-361.260499999991,23.277500000004736,1.064434113333745,101.84250000000247,0.235447255718273
B_COMPLETE,2025-10,14,6,8,42.857142857142854,529.5269999999994,-397.0935000000039,132.4334999999954,1.333507095935829,347.12550000000374,1.336391860546208
B_COMPLETE,2025-11,12,5,7,41.66666666666667,423.5879999999983,-325.7320000000004,97.8559999999978,1.3004187491557408,258.27500000000146,0.9744464716644932
B_COMPLETE,2025-12,12,5,7,41.66666666666667,325.9079999999942,-359.67850000000976,-33.77050000001549,0.9061092058601928,152.55749999999898,-0.3330401072183474
B_COMPLETE,2026-01,15,3,12,20.0,269.9759999999997,-549.548999999997,-279.57299999999725,0.49126829454698523,458.4689999999973,-2.7663241129950444
B_COMPLETE,2026-02,12,4,8,33.33333333333333,274.6199999999983,-376.1814999999987,-101.5615000000004,0.7300199504760315,142.7395000000015,-1.0335232185407877
B_COMPLETE,2026-03,15,4,11,26.666666666666668,308.4420000000002,-519.4329999999945,-210.99099999999444,0.5938051683277794,243.9069999999938,-2.1695364551654874
B_COMPLETE,2026-04,16,3,13,18.75,221.92800000000017,-599.8335000000147,-377.90550000001446,0.3699826701909692,466.12850000001345,-3.972026368237691
B_COMPLETE,2026-05,13,3,10,23.076923076923077,172.1459999999997,-409.148499999994,-237.00249999999426,0.4207421021951742,277.7954999999947,-2.5940842259615593
B_COMPLETE,2026-06,15,3,12,20.0,233.64000000000001,-493.80049999999216,-260.16049999999217,0.4731465439990517,260.1604999999927,-2.923392783180013
B_COMPLETE,2026-07,11,7,4,63.63636363636363,540.5420000000007,-161.44750000000712,379.0944999999935,3.3480976788118544,161.4475000000075,4.388122126764094
COMBINED,2025-07,4,1,3,25.0,48.51,-33.82899999999962,14.681000000000381,1.433976765497075,33.82899999999972,0.14681000000000383
COMBINED,2025-08,50,16,34,32.0,601.2134999999996,-705.4914999999936,-104.27799999999405,0.8521909902529018,351.674999999992,-1.0412513389092877
COMBINED,2025-09,53,13,40,24.528301886792452,727.651499999996,-795.8169999999875,-68.16549999999137,0.9143452577665561,257.363499999994,-0.6878176397063906
COMBINED,2025-10,60,16,44,26.666666666666668,825.1079999999997,-965.6285000000058,-140.520500000006,0.8544776795630977,521.2730000000065,-1.4277292129965955
COMBINED,2025-11,48,19,29,39.58333333333333,971.0579999999973,-665.4640000000005,305.59399999999675,1.4592194318550613,368.1095000000005,3.1498960441744126
COMBINED,2025-12,54,15,39,27.77777777777778,639.9924999999927,-828.7115000000105,-188.7190000000177,0.7722741870964559,314.08150000000387,-1.8858112833709035
COMBINED,2026-01,55,8,47,14.545454545454545,458.75100000000003,-1032.110999999997,-573.3599999999968,0.4444783555257152,815.1659999999974,-5.839533815031703
COMBINED,2026-02,50,20,30,40.0,759.045,-687.912499999995,71.13250000000495,1.1034034124979637,159.72849999999562,0.7693965927518641
COMBINED,2026-03,59,20,39,33.89830508474576,833.6135000000002,-969.9694999999939,-136.3559999999938,0.8594223838997055,308.54649999999674,-1.4636181312999708
COMBINED,2026-04,58,15,43,25.862068965517242,589.800499999997,-1005.9200000000168,-416.11950000001985,0.5863294297757149,715.8950000000186,-4.532887959744479
COMBINED,2026-05,53,9,44,16.9811320754717,287.7025000000009,-898.108499999996,-610.405999999995,0.3203426980147746,610.4059999999954,-6.965012906941157
COMBINED,2026-06,57,15,42,26.31578947368421,569.1744999999983,-875.644999999993,-306.47049999999484,0.650005995580404,411.94149999999445,-3.7587678787089565
COMBINED,2026-07,49,19,30,38.775510204081634,883.6195000000001,-485.76250000000664,397.8569999999935,1.8190360515683859,309.7605000000076,5.070171609896046
