scenario,starting_balance,ending_balance,net_profit,gross_profit,gross_loss,profit_factor,win_rate,max_balance_dd,max_equity_dd,max_dd_pct,average_win,average_loss,achieved_reward_risk,expected_payoff,trades,longest_win_streak,longest_loss_streak,largest_win,largest_loss,recovery_factor,sharpe,sortino,average_holding_minutes,spread_cost,slippage_cost
baseline,10000.0,8244.869499999983,-1755.1305000000136,8195.239999999982,-9950.370499999995,0.8236115429068682,28.615384615384613,2633.7270000000226,2633.7270000000226,25.38429165352885,44.060430107526784,-21.44476400862068,2.054600838219284,-2.7002007692307903,650,7,19,100.98,-54.27299999999334,-0.6664056297406673,-1.183313278373162,-2.6679307653426054,78.29692307692308,647.004,382.83000000000004
spread_x1.25,10000.0,8207.326500000016,-1792.6734999999821,8166.787199999992,-9959.460699999972,0.8200029545776524,28.307692307692307,2652.326500000003,2652.326500000003,25.606160887144625,44.384713043478214,-21.372233261802517,2.076746613223837,-2.7579592307692034,650,7,19,100.98,-54.27299999999334,-0.675887188096933,-1.2109541947494,-2.739604343463514,78.19538461538461,804.8268,381.87
spread_x1.50,10000.0,8087.6729999999825,-1912.3270000000114,8059.881499999987,-9972.2085,0.8082343545063249,28.153846153846153,2745.912000000024,2745.912000000024,26.551213212253167,44.04306830601086,-21.35376552462527,2.0625434074013866,-2.942041538461556,650,7,19,100.98,-54.27299999999334,-0.6964269066160877,-1.3009902210971551,-2.9519997919199557,77.68461538461538,963.6345000000001,380.13
spread_x2.00,10000.0,8012.353999999972,-1987.6460000000202,8001.599499999985,-9989.245500000005,0.8010214084737411,27.384615384615387,2779.428500000039,2779.428500000039,26.971096129371396,44.952806179775195,-21.20858917197453,2.1195566482647874,-3.057916923076954,650,7,22,99.0,-54.154499999993355,-0.7151275882793863,-1.359989941315085,-3.1059428484811833,77.42307692307692,1278.32,378.20000000000005
extra_slippage_1pip,10000.0,7643.6324999999915,-2356.3675000000108,7700.735999999984,-10057.103499999996,0.7657011782766269,27.188940092165897,3001.971500000017,3001.971500000017,29.455009449829898,43.50698305084737,-21.217517932489443,2.0505217994526617,-3.6196121351766677,651,7,22,98.0,-57.75449999999393,-0.7849399969320153,-1.642844611398761,-3.6540929553097765,77.85099846390169,622.113,736.26
extra_slippage_2pip,10000.0,7035.465999999995,-2964.534000000008,7102.377499999981,-10066.91149999999,0.7055170297265442,26.339969372128635,3388.645999999999,3388.645999999999,33.82198852547276,41.29289244186036,-20.929129937629916,1.9729865773166728,-4.5398683001531515,653,7,22,95.06,-64.84500000001081,-0.8748432264686276,-2.168292741698175,-4.68105223973772,77.4104134762634,598.681,1062.69
extra_slippage_5pip,10000.0,5571.3735,-4428.626500000002,5953.381499999989,-10382.007999999989,0.5734325671873876,24.04870624048706,4682.6115,4682.6115,46.826115,37.679629746835374,-20.805627254508995,1.8110307026994077,-6.740679604261799,657,7,28,92.12,-72.77100000000831,-0.9457599674882279,-3.5139051554420937,-7.1668719738821425,76.2130898021309,544.682,1933.62
A_stop_minus10,10000.0,8009.927999999988,-1990.072000000012,8507.308999999983,-10497.380999999994,0.8104220471753848,26.615384615384613,2954.6330000000216,2954.6330000000216,28.340011887977724,49.17519653179181,-22.007088050314454,2.234516280362188,-3.061649230769249,650,7,27,100.98,-54.39149999999332,-0.6735428731757878,-1.2924527470343323,-3.1667725980566104,72.54153846153847,741.4979999999999,438.42
A_stop_plus10,10000.0,8359.88699999999,-1640.113000000013,7855.098499999983,-9495.211499999996,0.8272694610330676,30.153846153846153,2483.9540000000143,2483.9540000000143,24.080792749724704,40.07703316326522,-20.91456277533039,1.9162262005561874,-2.5232507692307893,650,7,16,100.98,-53.9325,-0.6602831614434098,-1.1405300982197877,-2.4130234121920746,82.94615384615385,582.624,344.97
targets_minus10pct,10000.0,8648.740999999998,-1351.2589999999996,8362.643999999993,-9713.902999999991,0.8608943284692054,30.461538461538463,2064.1869000000142,2064.1869000000142,20.1442083472033,42.235575757575724,-21.490935840707944,1.9652739215559643,-2.0788599999999993,650,7,19,89.6795999999989,-53.917499999993375,-0.6546204706560197,-0.9267053340338842,-2.0307486553199103,74.69846153846154,656.6669999999999,388.53000000000003
targets_plus10pct,10000.0,8413.577599999973,-1586.4224000000231,8718.811099999974,-10305.233499999997,0.8460566274408025,27.846153846153847,2716.870300000026,2716.870300000026,25.448902795500373,48.17022707182306,-21.97277931769722,2.19226827773335,-2.4406498461538817,650,7,19,113.36,-55.14500000000298,-0.5839153970655161,-1.0021649017272556,-2.369134014868433,80.41230769230769,660.369,390.75
