strategy,side,entry_time,entry,stop,target,volume,risk_cash,exit_time,exit,pnl,exit_reason,spread_cost,slippage_cost,mae,mfe,holding_minutes,metadata
A_FIXED,SELL,2026-01-26 14:30:00+00:00,25559.05,25609.05,25459.05,0.5,25.0,2026-01-26 16:28:00+00:00,25610.05,-25.5,stop,0.85,0.5,55.10000000000218,29.399999999997817,118.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-01-26 14:30:00+00:00,25559.05,25567.55,,0.5,25.0,2026-01-26 15:02:00+00:00,25568.55,-4.75,stop,0.85,0.5,8.75,12.5,32.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B1,SELL,2026-01-26 15:00:00+00:00,25556.75,25613.5,25471.62,0.88,49.94,2026-01-26 16:28:00+00:00,25614.5,-50.82,stop,1.496,0.88,57.400000000001455,27.099999999998545,88.0,"{'walk_forward_fold': 1, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-01-27 14:30:00+00:00,25865.15,25915.15,25765.15,0.49,24.5,2026-01-27 16:55:00+00:00,25916.15,-24.99,stop,0.833,0.49,60.99999999999636,76.30000000000291,145.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-01-27 14:30:00+00:00,25865.15,25889.45,,0.49,24.5,2026-01-27 15:13:00+00:00,25890.45,-12.396999999999643,stop,0.833,0.49,24.450000000000728,2.25,43.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B2,SELL,2026-01-27 16:55:00+00:00,25923.25,26024.25,25624.25,0.5,50.0,2026-01-27 20:55:00+00:00,25960.35,-18.549999999999272,time_exit,0.4,0.5,54.5,29.549999999999272,240.0,"{'pending_minutes': 115.0, 'walk_forward_fold': 1, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-01-28 14:30:00+00:00,26147.7,26197.7,26047.7,0.49,24.5,2026-01-28 17:47:00+00:00,26048.7,48.51,target,0.833,0.49,30.200000000000728,109.40000000000146,197.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-01-28 14:30:00+00:00,26147.7,26169.55,,0.49,24.5,2026-01-28 14:48:00+00:00,26170.55,-11.196499999999286,stop,0.833,0.49,24.200000000000728,4.599999999998545,18.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
A_FIXED,SELL,2026-01-29 14:30:00+00:00,26070.0,26120.0,25970.0,0.49,24.5,2026-01-29 16:34:00+00:00,25971.0,48.51,target,0.833,0.49,8.450000000000728,111.35000000000218,124.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-01-29 14:30:00+00:00,26070.0,26063.0,,0.49,24.5,2026-01-29 15:34:00+00:00,26064.0,2.94,stop,0.833,0.49,5.25,44.45000000000073,64.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B1,SELL,2026-01-29 15:00:00+00:00,26047.75,26155.15,25886.65,0.46,49.40400000000067,2026-01-29 16:37:00+00:00,25887.65,73.64599999999933,target,0.782,0.46,30.700000000000728,168.5,97.0,"{'walk_forward_fold': 1, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-01-30 14:30:00+00:00,25743.65,25793.65,25643.65,0.5,25.0,2026-01-30 16:30:00+00:00,25794.65,-25.5,stop,0.85,0.5,51.79999999999927,80.5,120.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-01-30 14:30:00+00:00,25743.65,25765.65,,0.49,24.5,2026-01-30 15:15:00+00:00,25766.65,-11.27,stop,0.833,0.49,31.0,41.10000000000218,45.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B2,SELL,2026-01-30 16:30:00+00:00,25772.95,25873.95,25473.95,0.49,49.0,2026-01-30 20:21:00+00:00,25474.95,146.02,target,0.392,0.49,45.39999999999782,307.7000000000007,231.0,"{'pending_minutes': 90.0, 'walk_forward_fold': 1, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-02-02 14:30:00+00:00,25397.85,25447.85,25297.85,0.5,25.0,2026-02-02 16:30:00+00:00,25448.85,-25.5,stop,0.85,0.5,124.5,50.19999999999709,120.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-02 14:30:00+00:00,25397.85,25405.55,,0.49,24.5,2026-02-02 14:30:00+00:00,25406.55,-4.263000000000356,stop,0.833,0.49,8.30000000000291,0.0,0.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B2,SELL,2026-02-02 15:57:00+00:00,25426.65,25527.65,25127.65,0.5,50.0,2026-02-02 16:32:00+00:00,25528.65,-51.0,stop,0.85,0.5,130.99999999999636,16.799999999999272,35.0,"{'pending_minutes': 57.0, 'walk_forward_fold': 1, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-02-03 14:30:00+00:00,25872.65,25922.65,25772.65,0.49,24.5,2026-02-03 16:32:00+00:00,25773.65,48.51,target,0.833,0.49,19.450000000000728,104.80000000000291,122.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-03 14:30:00+00:00,25872.65,25877.35,,0.49,24.5,2026-02-03 14:30:00+00:00,25878.35,-2.7929999999985737,stop,0.833,0.49,5.200000000000728,0.6000000000021828,0.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
A_FIXED,SELL,2026-02-04 14:30:00+00:00,25324.35,25374.35,25224.35,0.5,25.0,2026-02-04 16:07:00+00:00,25225.35,49.5,target,0.85,0.5,19.400000000001455,102.89999999999782,97.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-04 14:30:00+00:00,25324.35,25312.25,,0.49,24.5,2026-02-04 15:34:00+00:00,25313.25,5.438999999999287,stop,0.833,0.49,19.400000000001455,58.099999999998545,64.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
A_FIXED,SELL,2026-02-05 14:30:00+00:00,24802.65,24852.65,24702.65,0.5,25.0,2026-02-05 14:42:00+00:00,24703.65,49.5,target,0.85,0.5,16.299999999999272,107.29999999999927,12.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-05 14:30:00+00:00,24802.65,24740.25,,0.49,24.5,2026-02-05 15:32:00+00:00,24741.25,30.086000000000713,stop,0.833,0.49,16.299999999999272,193.20000000000073,62.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
A_FIXED,SELL,2026-02-06 14:30:00+00:00,24695.45,24745.45,24595.45,0.5,25.0,2026-02-06 15:22:00+00:00,24746.45,-25.5,stop,0.85,0.5,51.20000000000073,33.29999999999927,52.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-06 14:30:00+00:00,24695.45,24714.05,,0.49,24.5,2026-02-06 15:19:00+00:00,24715.05,-9.603999999999287,stop,0.833,0.49,32.400000000001455,33.29999999999927,49.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B2,SELL,2026-02-06 15:21:00+00:00,24733.85,24834.85,24434.85,0.5,50.0,2026-02-06 16:45:00+00:00,24835.85,-51.0,stop,0.85,0.5,112.60000000000218,128.79999999999927,84.0,"{'pending_minutes': 21.0, 'walk_forward_fold': 1, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-02-09 14:30:00+00:00,25005.15,25055.15,24905.15,0.5,25.0,2026-02-09 15:09:00+00:00,25056.15,-25.5,stop,0.85,0.5,53.5,16.299999999999272,39.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-09 14:30:00+00:00,25005.15,25014.75,,0.49,24.5,2026-02-09 14:40:00+00:00,25015.75,-5.193999999999287,stop,0.833,0.49,14.25,10.900000000001455,10.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B1,SELL,2026-02-09 15:00:00+00:00,25014.85,25138.05,24830.05,0.4,49.28000000000029,2026-02-09 17:15:00+00:00,25139.05,-49.68000000000029,stop,0.68,0.4,135.60000000000218,143.20000000000073,135.0,"{'walk_forward_fold': 1, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-02-10 14:30:00+00:00,25326.7,25376.7,25226.7,0.5,25.0,2026-02-10 15:06:00+00:00,25227.7,49.5,target,0.85,0.5,9.5,101.34999999999854,36.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-10 14:30:00+00:00,25326.7,25256.65,,0.49,24.5,2026-02-10 15:33:00+00:00,25257.65,33.83449999999964,stop,0.833,0.49,9.5,119.25,63.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
B2,SELL,2026-02-10 16:16:00+00:00,25300.35,25401.35,25001.35,0.5,50.0,2026-02-10 20:55:00+00:00,25200.7,49.82499999999891,time_exit,0.85,0.5,60.400000000001455,129.89999999999782,279.0,"{'pending_minutes': 76.0, 'walk_forward_fold': 1, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-02-11 14:30:00+00:00,25166.75,25216.75,25066.75,0.5,25.0,2026-02-11 15:30:00+00:00,25217.75,-25.5,stop,0.85,0.5,91.20000000000073,26.799999999999272,60.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
A_RUNNER,SELL,2026-02-11 14:30:00+00:00,25166.75,25171.9,,0.5,25.0,2026-02-11 15:18:00+00:00,25172.9,-3.0750000000007276,stop,0.85,0.5,9.799999999999272,26.799999999999272,48.0,"{'walk_forward_fold': 1, 'selected_variant': 'previous_two_m15'}"
A_FIXED,SELL,2026-02-12 14:30:00+00:00,25282.3,25332.3,25182.3,0.5,25.0,2026-02-12 15:41:00+00:00,25333.3,-25.5,stop,0.85,0.5,54.45000000000073,41.39999999999782,71.0,"{'walk_forward_fold': 1, 'selected_variant': 'baseline_50_100'}"
