2026-07-29 09:57:12,496Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-07-29 09:57:12,504Z | INFO    | asia_breakout.mt5 | BTCUSD resolved to BTCUSD
2026-07-29 09:57:12,506Z | INFO    | asia_breakout.mt5 | EURJPY resolved to EURJPY..
2026-07-29 09:57:12,508Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-07-29 09:57:12,510Z | INFO    | asia_breakout.live | Live monitor started
2026-07-29 09:57:12,511Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 09:58:12,518Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 09:59:12,525Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:00:12,533Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:01:12,539Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:02:12,546Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:03:12,553Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:04:12,560Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:05:12,567Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:06:12,574Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:07:12,585Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:08:12,591Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:09:12,598Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:10:12,604Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:11:12,611Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:12:12,618Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:13:12,624Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:14:12,631Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:15:12,637Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:16:12,643Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:17:12,649Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:18:12,656Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:19:12,663Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:20:12,668Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:21:12,674Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:22:12,679Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:23:12,685Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:24:12,692Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:25:12,698Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:26:12,704Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:27:12,711Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:28:12,719Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:29:12,726Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:30:12,733Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:31:12,741Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:32:12,747Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:33:12,754Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:34:12,760Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:35:12,767Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:36:12,774Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:37:12,780Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:38:12,785Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:39:12,791Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:40:12,798Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:41:12,805Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:42:12,811Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:43:12,817Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:44:12,823Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:45:12,829Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:46:12,836Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:47:12,843Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:48:12,850Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:49:12,856Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:50:12,863Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:51:12,870Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:52:12,876Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:53:12,882Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:54:12,890Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:55:12,898Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:56:12,904Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:57:12,911Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-07-29 10:58:12,918Z | INFO    | asia_breakout.live | Live monitor heartbeat
