instrument,symbol,session_date,direction,entry_mode,stop_mode,exit_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,portfolio_risk_cash,portfolio_pnl_cash,portfolio_balance_after_exit,asian_high,asian_low,asian_range,adr,range_adr_fraction,mae_r,ambiguous_bar
AUDCAD,AUDCADb,2025-07-30,sell,close_retest,midpoint,trailing,5.0,2025-07-30 11:15:00+00:00,2025-07-30 17:00:00+00:00,0.8952,0.89677,0.8873500000000002,0.89142,2.407643312101975,win,14.673527345300782,35.32861997785888,998.8902489859437,0.89828,0.89526,0.0030200000000000227,0.005172142857142847,0.583897251760812,-0.4331210191083001,False
AUDCAD,AUDCADb,2025-07-31,buy,close_retest,midpoint,trailing,5.0,2025-07-31 08:45:00+00:00,2025-07-31 14:24:00+00:00,0.8936000000000001,0.891265,0.9052750000000005,0.891265,-1.0,loss,14.983353734789155,-14.983353734789155,983.9068952511545,0.89344,0.88909,0.004349999999999965,0.005369999999999986,0.8100558659217834,-1.0,False
AUDCAD,AUDCADb,2025-08-07,buy,close_retest,midpoint,trailing,5.0,2025-08-07 09:15:00+00:00,2025-08-07 17:00:00+00:00,0.8952000000000001,0.893595,0.9032250000000005,0.89585,0.404984423675948,win,15.529826966720984,6.289338023904693,1026.0813088385828,0.89468,0.89251,0.0021700000000000053,0.005082142857142853,0.426985242445539,-0.07476635514025803,False
AUDCAD,AUDCADb,2025-08-11,buy,close_retest,midpoint,trailing,5.0,2025-08-11 10:00:00+00:00,2025-08-11 15:15:00+00:00,0.89755,0.8966149999999999,0.902225,0.8966149999999999,-1.0,loss,15.937776324155074,-15.937776324155074,1030.6428689620282,0.89735,0.89588,0.0014699999999999713,0.005173571428571421,0.2841364075659206,-1.0,False
AUDCAD,AUDCADb,2025-08-12,sell,close_retest,midpoint,trailing,5.0,2025-08-12 08:45:00+00:00,2025-08-12 16:45:00+00:00,0.89559,0.8972,0.88754,0.8972,-1.0,loss,15.459643034430423,-15.459643034430423,1022.913047444813,0.89868,0.89572,0.0029600000000000737,0.0050935714285714195,0.5811246669471477,-1.0,False
AUDCAD,AUDCADb,2025-08-14,sell,close_retest,midpoint,trailing,5.0,2025-08-14 12:00:00+00:00,2025-08-14 17:00:00+00:00,0.89916,0.901215,0.8888849999999998,0.8965000000000001,1.2944038929439645,win,15.680319997743528,20.29666724768632,1065.6513337639215,0.90276,0.89967,0.003090000000000037,0.0049771428571428545,0.6208381171067816,-0.3406326034063377,False
AUDCAD,AUDCADb,2025-08-15,buy,close_retest,midpoint,trailing,5.0,2025-08-15 10:45:00+00:00,2025-08-15 17:00:00+00:00,0.8982,0.89669,0.90575,0.89927,0.7086092715231836,win,16.15351413148463,11.446529881250777,1088.3474719802261,0.89793,0.89545,0.0024800000000000377,0.00527571428571428,0.4700785269428725,-0.6026490066224898,False
AUDCAD,AUDCADb,2025-08-22,buy,close_retest,midpoint,trailing,5.0,2025-08-22 12:00:00+00:00,2025-08-22 12:55:00+00:00,0.89436,0.893135,0.9004850000000002,0.893135,-1.0,loss,15.722553630396632,-15.722553630396632,1032.4476883960456,0.8942,0.89207,0.0021299999999999653,0.004402857142857145,0.48377676833224365,-1.0,False
AUDCAD,AUDCADb,2025-08-27,sell,close_retest,midpoint,trailing,5.0,2025-08-27 11:00:00+00:00,2025-08-27 17:00:00+00:00,0.89694,0.898235,0.8904649999999997,0.89698,-0.030888030888060677,loss,15.439396336292443,-0.4768925509284118,1013.376800198942,0.89939,0.89708,0.0023100000000000342,0.0045035714285714245,0.5129262490087313,-0.33976833976841025,False
AUDCAD,AUDCADb,2025-09-01,buy,close_retest,midpoint,trailing,5.0,2025-09-01 10:45:00+00:00,2025-09-01 17:00:00+00:00,0.89965,0.898495,0.9054249999999995,0.90081,1.004329004329129,win,15.469465469777493,15.536432852765472,1031.3646653681542,0.89942,0.89757,0.0018500000000000183,0.004450714285714292,0.41566361739689006,-0.1904761904762042,False
