instrument,symbol,session_date,direction,entry_mode,stop_mode,exit_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,portfolio_risk_cash,portfolio_pnl_cash,portfolio_balance_after_exit,asian_high,asian_low,asian_range,adr,range_adr_fraction,mae_r,ambiguous_bar
BTCUSD,#BTCUSDr,2025-07-29,buy,confirmed_close,midpoint,trailing,1.0,2025-07-29 09:30:00+00:00,2025-07-29 17:00:00+00:00,118897.65,118085.3075,119709.9925,118531.292,-0.45098957644096355,loss,30.0,-13.529687293228907,956.4703127067711,118773.165,117397.45,1375.7149999999965,2878.702857142857,0.4778940614125795,-0.9706496951716809,False
BTCUSD,#BTCUSDr,2025-07-30,buy,confirmed_close,midpoint,trailing,1.0,2025-07-30 10:30:00+00:00,2025-07-30 14:49:00+00:00,118319.35,117675.312,118963.388,117675.312,-1.0,loss,28.29344492937592,-28.29344492937592,914.8213860498213,118221.65,117128.974,1092.6759999999922,2715.98857142857,0.4023124439825093,-1.0,False
BTCUSD,#BTCUSDr,2025-07-31,buy,confirmed_close,midpoint,trailing,1.0,2025-07-31 10:15:00+00:00,2025-07-31 17:00:00+00:00,118704.25,117730.8,119677.7,118579.15,-0.12851199342545194,loss,28.639453937429483,-3.6805133161154715,922.3284973274378,118572.05,116889.55,1682.5,2678.1284285714273,0.6282372353955716,-0.9552622117211946,False
BTCUSD,#BTCUSDr,2025-08-05,sell,confirmed_close,midpoint,trailing,1.0,2025-08-05 10:45:00+00:00,2025-08-05 12:43:00+00:00,114005.95,114697.5,113314.4,114697.5,-1.0,loss,26.034566494061586,-26.034566494061586,854.8015998883556,115289.95,114105.05,1184.8999999999942,2684.7865714285695,0.441338619840277,-1.0,False
BTCUSD,#BTCUSDr,2025-08-08,sell,confirmed_close,midpoint,trailing,1.0,2025-08-08 08:45:00+00:00,2025-08-08 17:00:00+00:00,116519.088,117094.264,115943.91200000001,116881.58600000001,-0.6302383965951497,loss,29.60307885131061,-18.656996949529784,968.1122980941573,117581.616,116606.912,974.7039999999979,2594.088499999997,0.375740457582692,-0.7092037915351246,False
BTCUSD,#BTCUSDr,2025-08-09,buy,confirmed_close,midpoint,trailing,1.0,2025-08-09 11:45:00+00:00,2025-08-09 13:14:00+00:00,117138.68000000001,116613.343,117664.01700000002,117664.01700000002,1.0,win,30.805760613763677,30.805760613763677,1057.6644477392194,116932.94,116293.746,639.1940000000031,2427.251357142854,0.2633406705568417,-0.7791931655299289,False
BTCUSD,#BTCUSDr,2025-08-17,buy,confirmed_close,midpoint,trailing,1.0,2025-08-17 12:00:00+00:00,2025-08-17 17:00:00+00:00,118324.601,117624.3835,119024.8185,118345.95,0.03048909803025776,win,34.21905285379928,1.0433080569620579,1141.678403183605,118137.451,117111.316,1026.1349999999948,2888.2602857142815,0.35527788304793534,-0.46363308543416976,False
BTCUSD,#BTCUSDr,2025-08-21,sell,confirmed_close,midpoint,trailing,1.0,2025-08-21 08:15:00+00:00,2025-08-21 12:44:00+00:00,113630.904,114251.99900000001,113009.80899999998,113576.93050000002,0.08690055466551311,win,35.28359012024054,3.066163552039521,1126.2763266619177,114768.418,113735.58,1032.8380000000034,2988.1290714285706,0.34564705048240174,-0.5663545834372936,False
BTCUSD,#BTCUSDr,2025-08-24,sell,confirmed_close,midpoint,trailing,1.0,2025-08-24 10:00:00+00:00,2025-08-24 13:43:00+00:00,114820.727,115261.28450000001,114380.16949999999,114801.47975,0.04368839481792937,win,30.376876459419282,1.327116972094574,1013.889665619404,115630.848,114891.721,739.1269999999931,3317.275071428573,0.2228114895765007,-0.6535696248503117,False
BTCUSD,#BTCUSDr,2025-08-25,sell,confirmed_close,midpoint,trailing,1.0,2025-08-25 09:45:00+00:00,2025-08-25 10:40:00+00:00,112004.022,112864.862,111143.182,111831.60599999999,0.20028809070211967,win,30.416689968582123,6.092100759285629,1019.9817663786896,113638.012,112091.712,1546.300000000003,3486.206357142859,0.4435480409333205,-0.14739789043259968,False
