instrument,symbol,session_date,direction,entry_mode,stop_mode,exit_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,portfolio_risk_cash,portfolio_pnl_cash,portfolio_balance_after_exit,asian_high,asian_low,asian_range,adr,range_adr_fraction,mae_r,ambiguous_bar
EURJPY,EURJPYb,2025-08-05,sell,mechanical_oco,midpoint,trailing,6.0,2025-08-05 09:00:00+00:00,2025-08-05 09:40:00+00:00,169.894,170.1175,168.553,170.1175,-1.0,loss,26.839759272228438,-26.839759272228438,867.8188831353863,170.341,169.894,0.44700000000000273,1.3887142857142802,0.32188046497274264,-1.0,False
EURJPY,EURJPYb,2025-08-06,buy,mechanical_oco,midpoint,trailing,6.0,2025-08-06 10:23:00+00:00,2025-08-06 13:31:00+00:00,170.933,170.7735,171.88999999999987,171.29950000000002,2.297805642633708,win,27.191841791917604,62.481567503071346,968.8762939003249,170.933,170.614,0.3189999999999884,1.36871428571428,0.2330654420206584,-0.5893416927900055,False
EURJPY,EURJPYb,2025-08-08,buy,mechanical_oco,midpoint,trailing,6.0,2025-08-08 10:43:00+00:00,2025-08-08 17:00:00+00:00,171.811,171.5895,173.14000000000013,172.249,1.9774266365686146,win,29.60307885131061,58.53791664502263,1026.8586871254558,171.811,171.368,0.44300000000001205,1.4135714285714198,0.3133906013138053,-0.9616252821669273,False
EURJPY,EURJPYb,2025-08-11,sell,mechanical_oco,midpoint,trailing,6.0,2025-08-11 10:39:00+00:00,2025-08-11 13:13:00+00:00,171.813,172.00799999999998,170.64300000000003,172.00799999999998,-1.0,loss,31.729933432176587,-31.729933432176587,994.2045808748663,172.203,171.813,0.3900000000000148,1.4169999999999914,0.27522935779817725,-1.0,False
EURJPY,EURJPYb,2025-08-18,sell,mechanical_oco,midpoint,trailing,6.0,2025-08-18 10:08:00+00:00,2025-08-18 15:34:00+00:00,172.259,172.45549999999997,171.08000000000007,172.45549999999997,-1.0,loss,34.25035209550815,-34.25035209550815,1107.428051088097,172.652,172.259,0.3930000000000007,1.26921428571428,0.30964038494006607,-1.0,False
EURJPY,EURJPYb,2025-08-21,buy,mechanical_oco,midpoint,trailing,6.0,2025-08-21 08:42:00+00:00,2025-08-21 09:08:00+00:00,171.795,171.65949999999998,172.60800000000003,171.65949999999998,-1.0,loss,35.28359012024054,-35.28359012024054,1140.8360805544442,171.795,171.524,0.2709999999999866,1.0927857142857087,0.24799006471010077,-1.0,False
EURJPY,EURJPYb,2025-09-17,sell,mechanical_oco,midpoint,trailing,6.0,2025-09-17 08:04:00+00:00,2025-09-17 08:48:00+00:00,173.578,173.716,172.74999999999997,173.716,-1.0,loss,39.30267646110969,-39.30267646110969,1270.7865389092133,173.854,173.578,0.27600000000001046,0.8384285714285694,0.3291872550690199,-1.0,False
EURJPY,EURJPYb,2025-09-23,sell,mechanical_oco,midpoint,trailing,6.0,2025-09-23 09:57:00+00:00,2025-09-23 15:04:00+00:00,174.209,174.3515,173.3540000000001,174.3515,-1.0,loss,34.6963384928413,-34.6963384928413,1087.1519394423606,174.494,174.209,0.2849999999999966,0.844142857142858,0.3376205787781307,-1.0,False
EURJPY,EURJPYb,2025-10-24,buy,mechanical_oco,midpoint,trailing,6.0,2025-10-24 08:05:00+00:00,2025-10-24 10:15:00+00:00,177.528,177.363,178.51799999999994,177.363,-1.0,loss,30.942747909938216,-30.942747909938216,1000.4821824213356,177.528,177.198,0.3299999999999841,1.1344285714285698,0.29089535323005816,-1.0,False
EURJPY,EURJPYb,2025-11-03,buy,mechanical_oco,midpoint,trailing,6.0,2025-11-03 08:14:00+00:00,2025-11-03 10:17:00+00:00,177.874,177.735,178.70799999999988,177.735,-1.0,loss,28.642879444340178,-28.642879444340178,926.1197687003323,177.874,177.596,0.2779999999999916,0.987642857142861,0.2814782671584485,-1.0,False
