instrument,symbol,session_date,direction,entry_mode,stop_mode,exit_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,portfolio_risk_cash,portfolio_pnl_cash,portfolio_balance_after_exit,asian_high,asian_low,asian_range,adr,range_adr_fraction,mae_r,ambiguous_bar
GBPJPY,GBPJPYb,2025-08-05,buy,confirmed_close,opposite,fixed,0.5,2025-08-05 09:45:00+00:00,2025-08-05 11:30:00+00:00,195.627,195.028,195.92650000000003,195.92650000000003,0.5,win,26.034566494061586,13.017283247030793,880.8361663824171,195.557,195.028,0.5289999999999964,1.4842142857142875,0.35641753693632705,-0.18530884808015874,False
GBPJPY,GBPJPYb,2025-08-11,buy,confirmed_close,opposite,fixed,0.5,2025-08-11 09:00:00+00:00,2025-08-11 10:41:00+00:00,198.698,198.354,198.87,198.354,-1.0,loss,31.729933432176587,-31.729933432176587,1025.934514307043,198.677,198.354,0.3229999999999791,1.5343571428571445,0.21051161491549286,-1.0,False
GBPJPY,GBPJPYb,2025-08-12,buy,confirmed_close,opposite,fixed,0.5,2025-08-12 10:15:00+00:00,2025-08-12 11:31:00+00:00,199.406,198.78,199.719,199.719,0.5,win,30.259251017595197,15.129625508797599,1069.160202621697,199.394,198.78,0.6140000000000043,1.4648571428571435,0.41915350107275484,-0.12300319488817507,False
GBPJPY,GBPJPYb,2025-08-18,sell,confirmed_close,opposite,fixed,0.5,2025-08-18 10:15:00+00:00,2025-08-18 15:34:00+00:00,199.386,200.0,199.079,200.0,-1.0,loss,34.25035209550815,-34.25035209550815,1073.1776989925888,200.0,199.432,0.568000000000012,1.524714285714288,0.37252881101846513,-1.0,False
GBPJPY,GBPJPYb,2025-08-20,buy,confirmed_close,opposite,fixed,0.5,2025-08-20 11:00:00+00:00,2025-08-20 15:58:00+00:00,199.431,198.631,199.83100000000002,198.631,-1.0,loss,32.42854123236062,-32.42854123236062,1048.52283317966,199.256,198.631,0.625,1.5372142857142868,0.4065796199061379,-1.0,False
GBPJPY,GBPJPYb,2025-08-21,buy,confirmed_close,opposite,fixed,0.5,2025-08-21 10:45:00+00:00,2025-08-21 11:09:00+00:00,198.456,198.122,198.623,198.623,0.5,win,33.19832994413432,16.59916497206716,1123.210163109878,198.449,198.122,0.3269999999999982,1.4682142857142861,0.22271953296034896,-0.05089820359280597,False
GBPJPY,GBPJPYb,2025-08-22,buy,confirmed_close,opposite,fixed,0.5,2025-08-22 12:00:00+00:00,2025-08-22 17:00:00+00:00,199.363,198.826,199.63150000000002,199.127,-0.4394785847299577,loss,31.74788863336281,-13.952517164754598,1012.5625486473094,199.324,198.826,0.49800000000001887,1.2564285714285697,0.3963615690733527,-0.6797020484171414,False
GBPJPY,GBPJPYb,2025-08-28,sell,confirmed_close,opposite,fixed,0.5,2025-08-28 08:30:00+00:00,2025-08-28 17:00:00+00:00,198.66,199.141,198.4195,198.602,0.12058212058210682,win,28.607566398158173,3.449561020983336,944.394530222703,199.141,198.677,0.46399999999999864,1.101785714285713,0.42113452188006406,-0.6611226611226937,False
GBPJPY,GBPJPYb,2025-08-29,sell,confirmed_close,opposite,fixed,0.5,2025-08-29 11:15:00+00:00,2025-08-29 13:00:00+00:00,198.19,198.665,197.9525,197.9525,0.5,win,29.825587010826435,14.912793505413218,1009.0990271996277,198.665,198.273,0.3919999999999959,1.0512857142857135,0.3728767495583603,-0.023157894736833287,False
GBPJPY,GBPJPYb,2025-09-03,sell,confirmed_close,opposite,fixed,0.5,2025-09-03 09:00:00+00:00,2025-09-03 11:27:00+00:00,198.567,199.067,198.317,199.067,-1.0,loss,30.961737067119266,-30.961737067119266,1001.0961651701895,199.067,198.582,0.48500000000001364,1.1089999999999987,0.43733092876466567,-1.0,False
GBPJPY,GBPJPYb,2025-09-05,buy,confirmed_close,opposite,fixed,0.5,2025-09-05 09:15:00+00:00,2025-09-05 13:09:00+00:00,199.59,199.223,199.7735,199.7735,0.5,win,28.809306143659295,14.404653071829648,974.7148578604729,199.565,199.223,0.34199999999998454,1.0764285714285668,0.3177173191771602,-0.6130790190735703,False
GBPJPY,GBPJPYb,2025-09-09,sell,confirmed_close,opposite,fixed,0.5,2025-09-09 08:30:00+00:00,2025-09-09 11:15:00+00:00,199.533,199.876,199.36149999999998,199.36149999999998,0.5,win,34.58714775404285,17.293573877021426,1170.198499011783,199.876,199.562,0.31399999999999295,1.0883571428571384,0.28850823652949525,-0.7551020408163299,False
GBPJPY,GBPJPYb,2025-09-10,buy,confirmed_close,opposite,fixed,0.5,2025-09-10 09:15:00+00:00,2025-09-10 17:00:00+00:00,199.617,199.175,199.83799999999997,199.748,0.29638009049775227,win,35.70180021837125,10.581302779653543,1236.3431102770662,199.578,199.175,0.4029999999999916,1.0524999999999949,0.38289786223277295,-0.48190045248869695,False
GBPJPY,GBPJPYb,2025-09-11,buy,confirmed_close,opposite,fixed,0.5,2025-09-11 09:15:00+00:00,2025-09-11 09:32:00+00:00,199.615,199.315,199.76500000000001,199.76500000000001,0.5,win,37.090293308311985,18.545146654155992,1254.8882569312223,199.533,199.315,0.2179999999999893,1.0183571428571372,0.21407028126533403,-0.09000000000004738,False
GBPJPY,GBPJPYb,2025-09-12,buy,confirmed_close,opposite,fixed,0.5,2025-09-12 11:00:00+00:00,2025-09-12 11:32:00+00:00,200.016,199.718,200.165,200.165,0.5,win,36.533938908687304,18.266969454343652,1236.0649330772537,199.99,199.718,0.2720000000000198,0.9857142857142824,0.2759420289855282,-0.17449664429527578,False
GBPJPY,GBPJPYb,2025-09-15,buy,confirmed_close,opposite,fixed,0.5,2025-09-15 11:30:00+00:00,2025-09-15 14:31:00+00:00,200.447,199.926,200.7075,200.7075,0.5,win,37.812253954474706,18.906126977237353,1279.3145921263942,200.408,199.926,0.4819999999999993,0.9847857142857107,0.4894465801117005,-0.5566218809980493,False
GBPJPY,GBPJPYb,2025-09-18,buy,confirmed_close,opposite,fixed,0.5,2025-09-18 09:15:00+00:00,2025-09-18 11:06:00+00:00,200.453,200.041,200.659,200.659,0.5,win,36.30118569578238,18.15059284789119,1191.8889303448548,200.358,200.041,0.3170000000000073,1.0137857142857112,0.31268935390686364,-0.22330097087381454,False
GBPJPY,GBPJPYb,2025-09-23,buy,confirmed_close,opposite,fixed,0.5,2025-09-23 11:00:00+00:00,2025-09-23 11:30:00+00:00,199.74,199.46,199.88,199.46,-1.0,loss,34.6963384928413,-34.6963384928413,1121.8482779352018,199.723,199.46,0.26300000000000523,0.9725714285714255,0.27041715628672774,-1.0,False
GBPJPY,GBPJPYb,2025-09-24,buy,confirmed_close,opposite,fixed,0.5,2025-09-24 12:00:00+00:00,2025-09-24 17:00:00+00:00,199.919,199.459,200.149,199.787,-0.2869565217391363,loss,33.2964573897855,-9.55463559880821,1039.6671859311962,199.89,199.459,0.4309999999999832,0.9424285714285686,0.45732908897982283,-0.4608695652174214,False
GBPJPY,GBPJPYb,2025-09-25,buy,confirmed_close,opposite,fixed,0.5,2025-09-25 09:15:00+00:00,2025-09-25 14:35:00+00:00,200.262,199.878,200.454,199.878,-1.0,loss,31.19001557793588,-31.19001557793588,1008.4771703532602,200.246,199.878,0.3680000000000234,0.9229285714285689,0.3987307483941136,-1.0,False
GBPJPY,GBPJPYb,2025-09-26,buy,confirmed_close,opposite,fixed,0.5,2025-09-26 09:15:00+00:00,2025-09-26 10:00:00+00:00,199.989,199.695,200.13600000000002,200.13600000000002,0.5,win,28.382914175921652,14.191457087960826,960.2885962853492,199.97,199.695,0.2750000000000057,0.89735714285714,0.30645546445913335,-0.1734693877551504,False
GBPJPY,GBPJPYb,2025-09-29,sell,confirmed_close,opposite,fixed,0.5,2025-09-29 09:15:00+00:00,2025-09-29 11:27:00+00:00,199.884,200.425,199.6135,199.6135,0.5,win,27.94439815190366,13.97219907595183,945.4521374727406,200.425,199.984,0.4410000000000025,0.8853571428571395,0.4981040742234819,-0.3308687615526686,False
GBPJPY,GBPJPYb,2025-09-30,sell,confirmed_close,opposite,fixed,0.5,2025-09-30 08:30:00+00:00,2025-09-30 09:57:00+00:00,199.299,199.773,199.062,199.062,0.5,win,28.623328952073113,14.311664476036556,968.4226295451402,199.773,199.35,0.4230000000000018,0.8855714285714262,0.47765768672366843,-0.1455696202531433,False
GBPJPY,GBPJPYb,2025-10-02,buy,confirmed_close,opposite,fixed,0.5,2025-10-02 09:45:00+00:00,2025-10-02 11:49:00+00:00,198.506,198.137,198.6905,198.137,-1.0,loss,29.9113787549164,-29.9113787549164,967.1345797422969,198.451,198.137,0.31399999999999295,0.9657142857142844,0.32514792899407596,-1.0,False
GBPJPY,GBPJPYb,2025-10-09,sell,confirmed_close,opposite,fixed,0.5,2025-10-09 11:30:00+00:00,2025-10-09 12:04:00+00:00,204.325,204.88,204.04749999999999,204.04749999999999,0.5,win,28.296581549884475,14.148290774942238,957.3676757710914,204.88,204.37,0.5099999999999909,1.2278571428571428,0.4153577661430991,-0.057657657657676206,False
GBPJPY,GBPJPYb,2025-10-10,sell,confirmed_close,opposite,fixed,0.5,2025-10-10 09:45:00+00:00,2025-10-10 09:50:00+00:00,203.101,203.757,202.773,202.773,0.5,win,27.872132826636207,13.936066413318104,943.0071606345251,203.757,203.181,0.5759999999999934,1.2400714285714278,0.46448937273198043,-0.01371951219514401,False
GBPJPY,GBPJPYb,2025-10-16,buy,confirmed_close,opposite,fixed,0.5,2025-10-16 08:15:00+00:00,2025-10-16 10:57:00+00:00,202.734,201.979,203.1115,203.1115,0.5,win,29.486476476287127,14.743238238143563,997.6257874477144,202.686,201.979,0.7069999999999936,1.4574285714285733,0.4851009605959566,-0.1814569536423858,False
GBPJPY,GBPJPYb,2025-10-17,sell,confirmed_close,opposite,fixed,0.5,2025-10-17 09:45:00+00:00,2025-10-17 10:01:00+00:00,201.562,202.164,201.26100000000002,201.26100000000002,0.5,win,29.928773623431436,14.964386811715718,1012.5901742594301,202.164,201.604,0.5599999999999739,1.5215714285714301,0.3680405595718536,-0.03820598006644032,False
GBPJPY,GBPJPYb,2025-10-21,buy,confirmed_close,opposite,fixed,0.5,2025-10-21 08:30:00+00:00,2025-10-21 12:09:00+00:00,202.575,201.819,202.95299999999997,202.95299999999997,0.5,win,29.798081359535317,14.899040679767658,1068.7899441388006,202.528,201.819,0.7090000000000032,1.5630000000000024,0.45361484325016127,-0.4510582010581742,False
GBPJPY,GBPJPYb,2025-10-22,buy,confirmed_close,opposite,fixed,0.5,2025-10-22 08:45:00+00:00,2025-10-22 09:06:00+00:00,203.168,202.637,203.4335,202.637,-1.0,loss,33.33303296428372,-33.33303296428372,1077.7680658451734,203.143,202.637,0.5060000000000002,1.5911428571428599,0.3180104147961928,-1.0,False
GBPJPY,GBPJPYb,2025-10-23,buy,confirmed_close,opposite,fixed,0.5,2025-10-23 09:15:00+00:00,2025-10-23 09:59:00+00:00,203.447,202.814,203.76350000000002,203.76350000000002,0.5,win,29.829653259400917,14.914826629700459,1009.2366019430643,203.391,202.814,0.5769999999999982,1.6062142857142874,0.3592297772046056,-0.009478672985782203,False
GBPJPY,GBPJPYb,2025-10-24,buy,confirmed_close,opposite,fixed,0.5,2025-10-24 09:15:00+00:00,2025-10-24 17:00:00+00:00,203.77,203.223,204.0435,203.851,0.14808043875683602,win,30.942747909938216,4.582015686845822,975.0497326355413,203.727,203.223,0.5039999999999907,1.5963571428571441,0.31571882410845514,-0.7733089579524756,False
