event,type,status,side,r,best_r,risk_usd,pnl,balance,dd
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,0.0,0.0,500.0,0.0
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,500.0,0.0
Aug 01 2025 NFP / Jobs,NFP,timeout,buy,2.004437140509432,2.581210627225396,182.55,365.91,865.9100000000001,0.0
Aug 12 2025 CPI,CPI,timeout,buy,-0.6956179893070659,0.5546703008701066,190.78,-132.71,733.2,132.71000000000004
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,733.2,132.71000000000004
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,1.1956342243781444,1.9397770667767384,193.78,231.69,964.8900000000001,0.0
Sep 11 2025 CPI,CPI,both_sides_same_bar_skip,,0.0,,0.0,0.0,964.8900000000001,0.0
Sep 17 2025 FOMC Statement,FOMC,both_sides_same_bar_skip,,0.0,,0.0,0.0,964.8900000000001,0.0
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,964.8900000000001,0.0
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,964.8900000000001,0.0
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,964.8900000000001,0.0
Oct 29 2025 FOMC Statement,FOMC,loss,sell,-1.0,0.5054171478853906,181.83,-181.83,783.0600000000001,181.83000000000004
Oct 31 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,783.0600000000001,181.83000000000004
Nov 07 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,783.0600000000001,181.83000000000004
Nov 13 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,783.0600000000001,181.83000000000004
Nov 26 2025 PCE,PCE,timeout,sell,-0.05301962485091999,1.2300769814594283,184.46,-9.78,773.2800000000001,191.61
Dec 05 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,773.2800000000001,191.61
Dec 10 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,773.2800000000001,191.61
Dec 10 2025 FOMC Statement,FOMC,loss,buy,-1.0,1.0134657465073613,178.23,-178.23,595.0500000000001,369.84000000000003
Dec 23 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,595.0500000000001,369.84000000000003
Jan 09 2026 NFP / Jobs,NFP,filtered_risk_too_large,sell,0.0,0.2886180867334629,202.69,0.0,595.0500000000001,369.84000000000003
Jan 13 2026 CPI,CPI,timeout,buy,0.03028734144447572,1.323738027439852,193.15,5.85,600.9000000000001,363.99
Jan 28 2026 FOMC Statement,FOMC,filtered_risk_too_large,buy,0.0,5.184398195313793,206.13,0.0,600.9000000000001,363.99
Jan 30 2026 PCE / PPI,PCE,filtered,,0.0,,0.0,0.0,600.9000000000001,363.99
Feb 11 2026 NFP / Jobs,NFP,filtered_risk_too_large,sell,0.0,2.6797819173102857,220.1,0.0,600.9000000000001,363.99
Feb 13 2026 CPI,CPI,timeout,buy,1.907076330157425,2.0048709988224145,186.82,356.28,957.1800000000001,7.710000000000036
Feb 27 2026 PPI / PCE,PCE,filtered_risk_too_large,sell,0.0,0.8639737991266107,229.0,0.0,957.1800000000001,7.710000000000036
Mar 11 2026 CPI,CPI,loss,buy,-1.0,0.0038354996803812414,187.72,-187.72,769.46,195.43000000000006
Mar 18 2026 PPI / FOMC,FOMC,loss,buy,-1.0,0.03797739568272254,186.69,-186.69,582.77,382.1200000000001
Apr 10 2026 CPI,CPI,timeout,buy,1.2902002971159752,1.3146867476051955,195.21,251.86,834.63,130.2600000000001
Apr 29 2026 FOMC Statement,FOMC,timeout,sell,-0.3864519427403064,1.033077709611496,195.6,-75.59,759.04,205.85000000000014
May 08 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.014166096160947855,189.89,-189.89,569.15,395.7400000000001
May 12 2026 CPI,CPI,no_trigger,,0.0,,0.0,0.0,569.15,395.7400000000001
May 29 2026 PCE,PCE,no_trigger,,0.0,,0.0,0.0,569.15,395.7400000000001
Jun 05 2026 NFP / Jobs,NFP,timeout,sell,4.842346518335364,5.3016069221260205,194.16,940.19,1509.3400000000001,0.0
Jun 10 2026 CPI,CPI,filtered_risk_too_large,buy,0.0,1.8752947578451329,220.52,0.0,1509.3400000000001,0.0
Jun 17 2026 FOMC Statement,FOMC,trail_exit,sell,7.335020408163262,8.335020408163263,183.75,1347.81,2857.15,0.0
Jun 25 2026 PCE,PCE,filtered_risk_too_large,buy,0.0,1.9274832962137822,224.5,0.0,2857.15,0.0
Jul 02 2026 NFP / Jobs,NFP,timeout,buy,2.3760229132569464,3.6642287234042317,195.52,464.56,3321.71,0.0
Jul 14 2026 CPI,CPI,timeout,buy,1.9693971233295748,3.3800877282463926,196.06,386.12,3707.83,0.0
