symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,max_trades_per_day
XAUUSD,XAUUSDm,M5,EMA,3,2.0,1.0/1.5/3.0,LONDON,35,20,15,57.14,300.0,396.25,96.25,32.08,27.17,1.52,0.224,3
XAGUSD,XAGUSDm,M1,OFF,5,1.5,1.0/1.5/2.0,ALL,134,67,67,50.0,300.0,321.81,21.81,7.27,38.74,1.03,0.035,3
BTCUSD,BTCUSDm,M1,EMA,3,1.2,1.0/1.5/2.0,NY_OPEN,150,71,79,47.33,300.0,170.09,-129.91,-43.3,61.02,0.85,-0.073,3
ETHUSD,ETHUSDm,M1,EMA,3,1.2,1.0/1.5/2.0,NY_OPEN,148,66,82,44.59,300.0,121.56,-178.44,-59.48,64.98,0.74,-0.131,3
EURUSD,EURUSDm,M15,TREND,3,2.0,1.0/1.5/3.0,ALL,39,22,17,56.41,300.0,315.54,15.54,5.18,20.54,1.07,0.052,3
GBPUSD,GBPUSDm,M15,RSI_EXTREME,3,2.0,1.0/1.5/2.0,ALL,31,17,14,54.84,300.0,296.99,-3.01,-1.0,12.15,0.98,0.01,3
USDJPY,USDJPYm,M1,TREND,3,2.0,1.0/2.0/3.0,NY_LATE,110,51,59,46.36,300.0,159.7,-140.3,-46.77,53.43,0.73,-0.123,3
AUDUSD,AUDUSDm,M1,TREND,3,2.0,1.0/1.5/3.0,NY_LATE,112,64,48,57.14,300.0,568.05,268.05,89.35,40.45,1.49,0.164,3
USDCAD,USDCADm,M5,OFF,3,2.0,1.0/1.5/2.0,NY_OPEN,55,27,28,49.09,300.0,301.4,1.4,0.47,20.34,1.0,0.023,3
EURGBP,EURGBPm,M1,TREND,3,2.0,1.0/2.0/3.0,LONDON,124,57,67,45.97,300.0,179.83,-120.17,-40.06,54.49,0.83,-0.08,3
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,1.5,1.0/2.0/3.0,ALL,140,70,70,50.0,300.0,327.19,27.19,9.06,27.92,1.03,0.039,3
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,NY_LATE,28,16,12,57.14,300.0,345.98,45.98,15.33,7.84,1.45,0.141,3
US30,US30_x10m,M5,EMA,3,2.0,1.0/1.5/2.0,NY_OPEN,32,15,17,46.88,300.0,316.96,16.96,5.65,8.57,1.11,0.061,3
US100,USTEC_x100m,M5,EMA,3,2.0,1.0/1.5/2.0,NY_OPEN,36,18,18,50.0,300.0,278.44,-21.56,-7.19,14.39,0.89,-0.034,3
