time,balance,drawdown_pct,symbol,r_multiple
,100.0,0.0,START,0.0
2026-05-25T04:55:00+00:00,101.33,0.0,USDSGD,0.3333
2026-05-25T18:30:00+00:00,107.41,0.0,USDSGD,1.5
2026-05-26T01:15:00+00:00,112.54,0.0,USDSGD,1.1944
2026-05-26T15:30:00+00:00,108.04,4.0,EURJPY,-1.0
2026-05-26T17:10:00+00:00,111.22,1.17,USDSGD,0.7359
2026-05-27T05:55:00+00:00,112.71,0.0,USDSGD,0.3333
2026-05-27T13:15:00+00:00,117.97,0.0,USDSGD,1.1667
2026-05-27T14:15:00+00:00,119.54,0.0,EURJPY,0.3333
2026-05-28T01:05:00+00:00,126.71,0.0,USDSGD,1.5
2026-05-28T10:30:00+00:00,128.4,0.0,USDSGD,0.3333
2026-05-28T14:25:00+00:00,138.67,0.0,EURJPY,2.0
2026-05-29T00:55:00+00:00,146.99,0.0,USDSGD,1.5
2026-05-29T03:20:00+00:00,141.11,4.0,USDSGD,-1.0
2026-05-29T13:05:00+00:00,150.09,0.0,EURJPY,1.5908
2026-06-01T13:05:00+00:00,158.1,0.0,EURJPY,1.3333
2026-06-01T13:45:00+00:00,151.77,4.0,USDSGD,-1.0
2026-06-01T18:05:00+00:00,160.88,0.0,USDSGD,1.5
2026-06-02T01:15:00+00:00,163.02,0.0,USDSGD,0.3333
2026-06-02T10:20:00+00:00,172.81,0.0,USDSGD,1.5
2026-06-03T00:50:00+00:00,165.89,4.0,USDSGD,-1.0
2026-06-03T04:25:00+00:00,159.26,7.84,USDSGD,-1.0
2026-06-04T08:45:00+00:00,152.89,11.53,USDSGD,-1.0
2026-06-04T15:30:00+00:00,159.64,7.62,EURJPY,1.1046
2026-06-04T16:00:00+00:00,167.09,3.31,USDSGD,1.1667
2026-06-05T03:30:00+00:00,177.12,0.0,USDSGD,1.5
2026-06-05T07:15:00+00:00,185.38,0.0,USDSGD,1.1667
2026-06-05T13:05:00+00:00,177.97,4.0,EURJPY,-1.0
2026-06-08T01:15:00+00:00,177.64,4.18,USDSGD,-0.0466
2026-06-08T11:50:00+00:00,170.53,8.01,USDSGD,-1.0
2026-06-08T15:40:00+00:00,163.71,11.69,EURJPY,-1.0
2026-06-09T01:05:00+00:00,165.89,10.51,USDSGD,0.3333
2026-06-09T06:25:00+00:00,159.26,14.09,USDSGD,-1.0
2026-06-09T14:45:00+00:00,152.89,17.53,EURJPY,-1.0
2026-06-10T01:05:00+00:00,162.06,12.58,USDSGD,1.5
2026-06-10T06:05:00+00:00,164.22,11.42,USDSGD,0.3333
2026-06-10T15:35:00+00:00,166.41,10.24,EURJPY,0.3333
2026-06-11T10:30:00+00:00,159.75,13.83,USDSGD,-1.0
2026-06-11T12:50:00+00:00,153.36,17.27,USDSGD,-1.0
2026-06-11T15:15:00+00:00,155.41,16.17,EURJPY,0.3333
2026-06-12T00:20:00+00:00,149.19,19.52,USDSGD,-1.0
2026-06-12T05:10:00+00:00,143.22,22.74,USDSGD,-1.0
2026-06-15T02:05:00+00:00,141.68,23.57,USDSGD,-0.2691
2026-06-15T13:05:00+00:00,136.02,26.63,EURJPY,-1.0
2026-06-15T14:30:00+00:00,130.57,29.57,USDSGD,-1.0
2026-06-15T15:15:00+00:00,136.75,26.23,EURJPY,1.1829
2026-06-16T01:20:00+00:00,138.58,25.25,USDSGD,0.3333
2026-06-16T13:10:00+00:00,133.03,28.24,USDSGD,-1.0
2026-06-16T14:20:00+00:00,134.81,27.28,EURJPY,0.3333
2026-06-17T01:05:00+00:00,139.13,24.95,USDSGD,0.8016
2026-06-17T12:50:00+00:00,147.48,20.45,USDSGD,1.5
2026-06-18T01:15:00+00:00,148.59,19.85,USDSGD,0.1885
2026-06-18T13:10:00+00:00,142.65,23.05,EURJPY,-1.0
2026-06-18T15:20:00+00:00,144.55,22.03,USDSGD,0.3333
2026-06-19T01:15:00+00:00,151.29,18.39,USDSGD,1.1667
2026-06-19T10:25:00+00:00,145.24,21.65,USDSGD,-1.0
2026-06-19T14:40:00+00:00,139.43,24.79,EURJPY,-1.0
2026-06-22T00:40:00+00:00,147.8,20.28,USDSGD,1.5
2026-06-22T08:15:00+00:00,141.89,23.46,USDSGD,-1.0
2026-06-22T13:25:00+00:00,153.24,17.34,EURJPY,2.0
2026-06-24T04:45:00+00:00,147.11,20.65,USDSGD,-1.0
2026-06-24T10:30:00+00:00,141.22,23.82,USDSGD,-1.0
2026-06-24T13:05:00+00:00,143.11,22.81,EURJPY,0.3333
2026-06-25T04:00:00+00:00,151.69,18.17,USDSGD,1.5
2026-06-25T04:45:00+00:00,156.33,15.68,USDSGD,0.7636
2026-06-26T00:15:00+00:00,150.07,19.05,USDSGD,-1.0
2026-06-26T04:55:00+00:00,157.08,15.27,USDSGD,1.1667
2026-06-26T13:25:00+00:00,150.79,18.66,EURJPY,-1.0
2026-06-29T00:40:00+00:00,159.84,13.78,USDSGD,1.5
2026-06-29T03:40:00+00:00,169.43,8.61,USDSGD,1.5
2026-06-29T14:05:00+00:00,182.99,1.29,EURJPY,2.0
2026-06-30T01:55:00+00:00,175.67,5.24,USDSGD,-1.0
2026-06-30T09:20:00+00:00,168.64,9.03,USDSGD,-1.0
2026-06-30T14:40:00+00:00,170.89,7.82,EURJPY,0.3333
2026-06-30T17:00:00+00:00,164.05,11.51,EURJPY,-1.0
2026-07-01T00:40:00+00:00,173.89,6.2,USDSGD,1.5
2026-07-01T07:35:00+00:00,166.94,9.95,USDSGD,-1.0
2026-07-02T01:05:00+00:00,162.61,12.28,USDSGD,-0.6483
2026-07-02T12:30:00+00:00,164.78,11.12,USDSGD,0.3333
2026-07-02T14:55:00+00:00,158.19,14.67,EURJPY,-1.0
2026-07-03T04:00:00+00:00,165.57,10.69,USDSGD,1.1667
2026-07-03T13:35:00+00:00,158.95,14.26,USDSGD,-1.0
2026-07-06T01:05:00+00:00,168.48,9.12,USDSGD,1.5
2026-07-06T10:45:00+00:00,176.3,4.9,USDSGD,1.1603
2026-07-06T13:35:00+00:00,179.09,3.39,EURJPY,0.3955
2026-07-07T01:20:00+00:00,181.48,2.11,USDSGD,0.3333
2026-07-07T10:10:00+00:00,174.22,6.02,USDSGD,-1.0
2026-07-07T14:55:00+00:00,183.51,1.01,EURJPY,1.3333
2026-07-08T00:50:00+00:00,194.52,0.0,USDSGD,1.5
2026-07-08T05:00:00+00:00,203.6,0.0,USDSGD,1.1667
2026-07-08T16:30:00+00:00,215.26,0.0,EURJPY,1.4312
2026-07-09T01:05:00+00:00,216.31,0.0,USDSGD,0.1219
2026-07-09T15:05:00+00:00,229.28,0.0,USDSGD,1.5
2026-07-09T15:50:00+00:00,220.11,4.0,EURJPY,-1.0
2026-07-10T00:50:00+00:00,211.31,7.84,USDSGD,-1.0
2026-07-10T03:45:00+00:00,223.99,2.31,USDSGD,1.5
2026-07-13T02:50:00+00:00,215.03,6.22,USDSGD,-1.0
2026-07-13T04:40:00+00:00,206.43,9.97,USDSGD,-1.0
2026-07-13T14:10:00+00:00,222.94,2.77,EURJPY,2.0
2026-07-14T01:05:00+00:00,225.91,1.47,USDSGD,0.3333
2026-07-14T06:40:00+00:00,239.47,0.0,USDSGD,1.5
2026-07-14T14:25:00+00:00,258.62,0.0,EURJPY,2.0
2026-07-15T06:40:00+00:00,248.28,4.0,USDSGD,-1.0
2026-07-15T11:30:00+00:00,238.35,7.84,USDSGD,-1.0
2026-07-15T14:05:00+00:00,228.81,11.53,EURJPY,-1.0
2026-07-16T01:15:00+00:00,239.49,7.4,USDSGD,1.1667
2026-07-16T11:10:00+00:00,253.86,1.84,USDSGD,1.5
2026-07-17T07:30:00+00:00,243.71,5.77,USDSGD,-1.0
2026-07-17T13:20:00+00:00,246.96,4.51,USDSGD,0.3333
2026-07-17T15:30:00+00:00,237.08,8.33,EURJPY,-1.0
2026-07-20T01:05:00+00:00,251.3,2.83,USDSGD,1.5
2026-07-20T03:20:00+00:00,266.38,0.0,USDSGD,1.5
2026-07-20T13:35:00+00:00,255.73,4.0,EURJPY,-1.0
2026-07-20T14:50:00+00:00,273.14,0.0,EURJPY,1.7023
2026-07-21T03:40:00+00:00,262.21,4.0,USDSGD,-1.0
2026-07-21T04:20:00+00:00,277.95,0.0,USDSGD,1.5
2026-07-21T13:55:00+00:00,266.83,4.0,EURJPY,-1.0
2026-07-22T01:15:00+00:00,268.42,3.43,USDSGD,0.1495
2026-07-22T12:40:00+00:00,272.0,2.14,USDSGD,0.3333
2026-07-22T13:20:00+00:00,287.0,0.0,EURJPY,1.3784
2026-07-23T01:05:00+00:00,290.83,0.0,USDSGD,0.3333
