symbol,broker_symbol,timeframe,side,signal_time,entry_time,exit_time,entry,stop,tp1,tp2,tp3,r_multiple,pnl,balance_after,exit_reason,bars_held,pivot_rsi,previous_rsi,risk_points,lot,target_risk,actual_risk,risk_mode
EURJPY,EURJPY..,M5,SELL,2026-06-24T12:20:00+00:00,2026-06-24T13:05:00+00:00,2026-06-24T16:55:00+00:00,183.478,183.723816,183.232184,182.986369,182.740553,0.3333,99.98,10099.98,stop,46,49.55,52.75,0.245816,1.99,300.0,299.94,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-26T12:55:00+00:00,2026-06-26T13:25:00+00:00,2026-06-26T15:40:00+00:00,184.269,184.436266,184.101734,183.934468,183.767202,-1.0,-302.55,9797.43,stop,27,67.17,75.23,0.167266,2.95,303.0,302.55,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-06-29T13:45:00+00:00,2026-06-29T14:05:00+00:00,2026-06-29T19:45:00+00:00,184.619,184.479763,184.758237,184.897473,185.03671,2.0,587.36,10384.79,tp3,68,54.71,50.93,0.139237,3.44,293.92,293.68,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-30T14:20:00+00:00,2026-06-30T14:40:00+00:00,2026-06-30T15:35:00+00:00,184.935,185.165735,184.704265,184.47353,184.242795,0.3333,103.75,10488.54,stop,11,65.18,69.44,0.230735,2.2,311.54,311.25,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-06-30T16:20:00+00:00,2026-06-30T17:00:00+00:00,2026-06-30T17:10:00+00:00,185.096,185.257126,184.934874,184.773748,184.612622,-1.0,-314.17,10174.37,stop,2,56.55,62.03,0.161126,3.18,314.66,314.17,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-07-02T13:55:00+00:00,2026-07-02T14:55:00+00:00,2026-07-02T15:30:00+00:00,184.126,184.291025,183.960975,183.795949,183.630924,-1.0,-304.57,9869.8,stop,7,51.57,58.56,0.165025,3.01,305.23,304.57,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-07-06T13:15:00+00:00,2026-07-06T13:35:00+00:00,2026-07-06T23:35:00+00:00,185.363,185.165804,185.560196,185.757391,185.954587,0.3955,116.69,9986.49,timeout,120,52.5,42.24,0.197196,2.44,296.09,295.02,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-07-07T14:35:00+00:00,2026-07-07T14:55:00+00:00,2026-07-08T00:05:00+00:00,185.043,185.233906,184.852094,184.661188,184.470282,1.3333,397.99,10384.48,stop,110,68.07,70.05,0.190906,2.55,299.59,298.49,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-07-08T16:00:00+00:00,2026-07-08T16:30:00+00:00,2026-07-09T02:30:00+00:00,185.328,185.137937,185.518063,185.708125,185.898188,1.4312,445.34,10829.82,timeout,120,44.77,36.62,0.190063,2.67,311.53,311.16,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-07-09T15:30:00+00:00,2026-07-09T15:50:00+00:00,2026-07-09T17:10:00+00:00,185.627,185.773665,185.480335,185.33367,185.187005,-1.0,-324.64,10505.18,stop,16,56.66,69.5,0.146665,3.61,324.89,324.64,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-07-13T13:10:00+00:00,2026-07-13T14:10:00+00:00,2026-07-13T23:55:00+00:00,185.227,185.35388,185.10012,184.973241,184.846361,2.0,630.16,11135.34,tp3,117,53.52,58.05,0.12688,4.05,315.16,315.08,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-07-14T14:00:00+00:00,2026-07-14T14:25:00+00:00,2026-07-14T15:30:00+00:00,184.88,184.756525,185.003475,185.126951,185.250426,2.0,667.76,11803.1,tp3,13,35.69,33.82,0.123475,4.41,334.06,333.88,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-07-15T13:35:00+00:00,2026-07-15T14:05:00+00:00,2026-07-15T14:50:00+00:00,185.368,185.264821,185.471179,185.574357,185.677536,-1.0,-353.65,11449.45,stop,9,43.77,37.0,0.103179,5.59,354.09,353.65,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-07-17T15:10:00+00:00,2026-07-17T15:30:00+00:00,2026-07-17T16:50:00+00:00,185.609,185.716039,185.501961,185.394923,185.287884,-1.0,-343.25,11106.2,stop,16,50.05,52.97,0.107039,5.23,343.48,343.25,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-07-20T12:55:00+00:00,2026-07-20T13:35:00+00:00,2026-07-20T14:30:00+00:00,185.671,185.566656,185.775344,185.879688,185.984032,-1.0,-332.69,10773.51,stop,11,37.35,32.88,0.104344,5.2,333.19,332.69,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-07-20T14:30:00+00:00,2026-07-20T14:50:00+00:00,2026-07-21T00:50:00+00:00,185.619,185.768514,185.469486,185.319972,185.170458,1.7023,549.32,11322.83,timeout,120,45.49,52.8,0.149514,3.52,323.21,322.7,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2026-07-21T13:35:00+00:00,2026-07-21T13:55:00+00:00,2026-07-21T17:05:00+00:00,185.812,185.955542,185.668458,185.524915,185.381373,-1.0,-338.85,10983.98,stop,38,65.9,68.52,0.143542,3.85,339.68,338.85,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2026-07-22T12:20:00+00:00,2026-07-22T13:20:00+00:00,2026-07-22T23:20:00+00:00,185.983,185.856697,186.109303,186.235606,186.361909,1.3784,453.69,11437.67,timeout,120,42.93,39.37,0.126303,4.25,329.52,329.13,RISK_PERCENT
USDSGD,USDSGD..,M5,SELL,2026-06-24T04:20:00+00:00,2026-06-24T04:45:00+00:00,2026-06-24T06:00:00+00:00,1.29681,1.297429,1.296191,1.295881,1.295572,-1.0,-299.53,9700.47,stop,15,66.06,68.91,0.000619,6.24,300.0,299.53,RISK_PERCENT
USDSGD,USDSGD..,M5,SELL,2026-06-24T10:10:00+00:00,2026-06-24T10:30:00+00:00,2026-06-24T12:05:00+00:00,1.29702,1.297882,1.296158,1.295727,1.295296,-1.0,-290.74,9409.73,stop,19,57.63,62.83,0.000862,4.35,291.01,290.74,RISK_PERCENT
