logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,entry,sl,tp1,tp2,final_tp,target_multiple,exit_price,result,r_multiple,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk,pnl,balance_before,balance_after
BTCUSD,BTCUSDm,SELL,1751371200,1751371200,1751433300,106721.92,107894.95,105548.89,104375.85,103202.82,3,106721.92,trail_stop,0.5,1173.03,14.29,71.43,STRONG BEAR,782.02,21.6,2025-07-01T12:00:00Z,2025-07-02T05:15:00Z,0.01,15.0,11.73,5.87,300.0,305.87
BTCUSD,BTCUSDm,BUY,1751472000,1751472000,1751546400,108841.1,107446.02,110236.18,111631.26,113026.34,3,108841.1,trail_stop,0.5,1395.08,85.71,0.0,STRONG BULL,930.05,21.6,2025-07-02T16:00:00Z,2025-07-03T12:40:00Z,0.01,15.29,13.95,6.98,305.87,312.84
BTCUSD,BTCUSDm,SELL,1751731200,1751731200,1751837100,108128.4,109299.42,106957.38,105786.36,104615.34,3,109299.42,loss,-1.0,1171.02,0.0,85.71,STRONG BEAR,780.68,21.6,2025-07-05T16:00:00Z,2025-07-06T21:25:00Z,0.01,15.64,11.71,-11.71,312.84,301.13
BTCUSD,BTCUSDm,BUY,1751976000,1751976000,1752164400,108817.35,107671.2,109963.5,111109.65,112255.8,3,112255.8,win,2.0,1146.15,71.43,14.29,STRONG BULL,764.1,21.6,2025-07-08T12:00:00Z,2025-07-10T16:20:00Z,0.01,15.06,11.46,22.92,301.13,324.05
BTCUSD,BTCUSDm,SELL,1753819200,1753819200,1753915500,117558.29,119145.58,115971.0,114383.7,112796.41,3,117558.29,trail_stop,0.5,1587.29,14.29,71.43,STRONG BEAR,1058.2,21.6,2025-07-29T20:00:00Z,2025-07-30T22:45:00Z,0.01,16.2,15.87,7.94,324.05,331.99
BTCUSD,BTCUSDm,BUY,1754510400,1754510400,1754877600,115398.34,113741.49,117055.19,118712.05,120368.9,3,120368.9,win,2.0,1656.85,57.14,28.57,MILD BULL,1104.57,21.6,2025-08-06T20:00:00Z,2025-08-11T02:00:00Z,0.01,16.6,16.57,33.14,331.99,365.13
BTCUSD,BTCUSDm,SELL,1756065600,1756065600,1756135500,112568.06,114381.64,110754.48,108940.89,107127.31,3,112568.06,trail_stop,0.5,1813.58,0.0,85.71,STRONG BEAR,1209.06,21.6,2025-08-24T20:00:00Z,2025-08-25T15:25:00Z,0.01,18.26,18.14,9.07,365.13,374.19
BTCUSD,BTCUSDm,SELL,1757188800,1757188800,1757320200,110056.12,111702.49,108409.75,106763.39,105117.02,3,111702.49,loss,-1.0,1646.37,0.0,71.43,STRONG BEAR,1097.58,21.6,2025-09-06T20:00:00Z,2025-09-08T08:30:00Z,0.01,18.71,16.46,-16.46,374.19,357.73
BTCUSD,BTCUSDm,SELL,1758312000,1758312000,1758725400,115174.04,116571.52,113776.56,112379.07,110981.59,3,113776.56,trail_stop,1.0,1397.48,0.0,85.71,STRONG BEAR,931.66,18.0,2025-09-19T20:00:00Z,2025-09-24T14:50:00Z,0.01,17.89,13.97,13.97,357.73,371.71
BTCUSD,BTCUSDm,SELL,1766505600,1766505600,1766715900,87387.45,89062.12,85712.78,84038.1,82363.43,3,89062.12,loss,-1.0,1674.67,14.29,71.43,STRONG BEAR,1116.45,18.0,2025-12-23T16:00:00Z,2025-12-26T02:25:00Z,0.01,18.59,16.75,-16.75,371.71,354.96
BTCUSD,BTCUSDm,SELL,1766779200,1766779200,1766973900,87423.94,89049.26,85798.62,84173.3,82547.99,3,89049.26,loss,-1.0,1625.32,28.57,57.14,MILD BEAR,1083.55,18.0,2025-12-26T20:00:00Z,2025-12-29T02:05:00Z,0.01,17.75,16.25,-16.25,354.96,338.71
